track,artist,album,uri,times_played
¡BREAKOUT! feat. Cherry Glazerr,WILLOW,lately I feel EVERYTHING,spotify:track:7ISXjNsiONb2Oghw1CI01L,10
...Like Clockwork,Queens of the Stone Age,...Like Clockwork,spotify:track:3UYeU6M7cOG4g2PlAOTvz9,1
...While You're Alive,Jeff Rosenstock,WORRY.,spotify:track:5hXFrR4ZS6fa23nxBwxoP8,7
.intoodeep.,Dead Poet Society,-!-,spotify:track:5QhNhUBkNtz9f6NQLrv5A8,12
‘tis the damn season,Taylor Swift,evermore,spotify:track:6sQckd3Z8NPxVVKUnavY1F,1
"""The Take Over, The Breaks Over""",Fall Out Boy,Infinity On High,spotify:track:3rG8ZkmKHb4Ms6CsSzEITv,19
"""Was mir behagt, ist nur die muntre Jagd"" Cantata, BWV 208 - arr. Mary Howe for two pianos: 9. Schafe können sicher weiden",Johann Sebastian Bach,Bach,spotify:track:4JWVkr5jUjylM3hMG5zvXw,1
(Coffee's For Closers),Fall Out Boy,Folie à Deux,spotify:track:7iT7qkF9L06cYaIee0aY7B,9
(They Long To Be) Close To You,Dusty Springfield,The Look Of Love,spotify:track:4O2HaPlwUgjOwFnGtweiGy,9
(Where Do I Begin) Love Story - 1994 Remaster,Shirley Bassey,Something Else,spotify:track:74cTLzttRYdy798wjmudYR,34
[oops],potsu,[oops],spotify:track:7JgZbix8xDasAhbn3N7eIF,2
「1/13」,クロロ ルシルフル(CV:宮野真守),HUNTER×HUNTER セレクト×ベスト×α,spotify:track:1hSRAsWSttuDIpTCU5oHk9,1
***BNB,Jeff Rosenstock,NO DREAM,spotify:track:3u66BJrkFFlNOanJHj81d8,5
***SKA,Jeff Rosenstock,SKA DREAM,spotify:track:6atKAG2vpccwtNNnHgCXPu,9
//error,GoldLink,Diaspora,spotify:track:0UntHP0WH8l247JkR2FfBh,1
"1 step forward, 3 steps back",Olivia Rodrigo,SOUR,spotify:track:4wcBRRpIfesgcyUtis7PEg,1
10:37,Beach House,Depression Cherry,spotify:track:3ETUDzHZP3Ue3C767F9jxM,2
10x Stronger,Dominic Fike,What Could Possibly Go Wrong,spotify:track:3xLU29XDzxUllbDjLumKf7,9
