track,artist,album,uri,times_played
11 AM Drunk,Dogleg,Dogleg,spotify:track:7cG2dwPnVeZDMAAFjT7I7G,3
151 Rum,JID,DiCaprio 2,spotify:track:22WV03i2lBbwNVCE1g671p,1
16 Lines,Lil Peep,"Come Over When You're Sober, Pt. 2",spotify:track:6akBF8JWM8lrpqejdwIfYI,2
1979 - Remastered 2012,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness,spotify:track:5QLHGv0DfpeXLNFo7SFEy1,2
1985,Bowling For Soup,A Hangover You Don't Deserve,spotify:track:5oQcOu1omDykbIPSdSQQNJ,2
1994,Slutever,1994,spotify:track:0GEHOgCdUU9b8uGQKjpugO,3
1999 She,Deaton Chris Anthony,BO Y,spotify:track:6hwYxvmMI0UflYGmDOXys9,1
2 Chord,Sleeping With Sirens,Madness,spotify:track:2KLXrOswYq81rkWPnzv2dw,1
2.02 Killer Year,King Gizzard & The Lizard Wizard,Butterfly 3000,spotify:track:1ThWxrNZDMU8k1Y9ZlLE5e,1
20 Dollar Nose Bleed,Fall Out Boy,Folie à Deux,spotify:track:3RHZzTT1RhYV6zicKUc4FM,7
2009,Mac Miller,Swimming,spotify:track:6dFn6my1sHK2bcf23GlHwM,3
21st Century Schizoid Man,Fuzz,Sunderberry Dream,spotify:track:2TiuOsgEVMvJy6Uh63A2u2,1
24k,Tkay Maidza,"Last Year Was Weird, Vol. 2",spotify:track:0F2gXzgbzLvK9LrS7yKS8Q,1
27,Fall Out Boy,Folie à Deux,spotify:track:6gRgweWPiX1ii33coNlTt8,2
3 Nights,Dominic Fike,"Don't Forget About Me, Demos",spotify:track:0uI7yAKUf52Cn7y3sYyjiX,7
30,Bo Burnham,Inside (The Songs),spotify:track:1dqC5KuAYE3bRxeSEeVDF6,1
34+35,Ariana Grande,Positions,spotify:track:6Im9k8u9iIzKMrmV7BWtlF,62
4 [bump],[bsd.u],BLESS Vol. 2,spotify:track:2V9u4CoNKwP7WV7gJme2LC,2
4ever,WILLOW,lately I feel EVERYTHING,spotify:track:1UgaioSUNBZQ5xyCiAhfAU,23
4US Ranch,Jelani Aryeh,Suburban Destinesia,spotify:track:7EMQSZncpJIctmrYAlIlo8,1
505,Arctic Monkeys,Favourite Worst Nightmare,spotify:track:58ge6dfP91o9oXMzq3XkIS,2
572 Cuthbert Blvd,Their / They're / There,Their / They're / There,spotify:track:0nf6U6aIMJRM4ln1U9NyKX,4
"6 Preludes, Op. 13: No. 3 in G Major",Alexander Scriabin,The Perfect Place to Be,spotify:track:4hE41B8WnqicoVUFZ3oqqs,1
7 Minutes In Heaven (Atavan Halen),Fall Out Boy,From Under The Cork Tree,spotify:track:2erNwv0Yti7uirpIU8wbvv,14
7 rings,Ariana Grande,"thank u, next",spotify:track:6ocbgoVGwYJhOv1GgI9NsF,4
8701,JID,The Never Story,spotify:track:0gmYtRyuvRKpd6cCApSDTh,1
9/10,Jeff Rosenstock,POST-,spotify:track:6DkzLTT71IfNfUxGsDhJ2K,8
A Burning Hill,Mitski,Puberty 2,spotify:track:6gz3orrUlKresI8GShSkdq,24
A Burning Hill,Mitski,Puberty 2,spotify:track:0Ii6Ec7qLQqniKG4Bgfl8J,24
A Case of You,Joni Mitchell,Blue,spotify:track:7shVwhUdVbHpykOfbzvDc1,1
A Certain Romance,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",spotify:track:2CbtdkBeW9Znt4vXTOafAl,2
A Coisa Mais Linda Que Existe,Gal Costa,Gal Costa,spotify:track:2YvFuxpoNlpsJZjhjs6OPE,1
A Contest Of Aeons,仲野順也,FINAL FANTASY X Original Soundtrack,spotify:track:2cCuqkuf3i9m1UC3hW8zp6,1
A Fan's Mail (Tron Song Suite II),Thundercat,Drunk,spotify:track:6qXNCWY49AaZ5nfp9AJIc5,2
A Fleeting Dream,Nobuo Uematsu,FINAL FANTASY X Original Soundtrack,spotify:track:51REyltyZa0nyob7Vpqomd,1
A House Is Not a Home,Dionne Warwick,The Dionne Warwick Collection: Her All-Time Greatest Hits,spotify:track:3gLe1SDGLShBTQr0BAwDKl,34
"A Little Less Sixteen Candles, A Little More ""Touch Me""",Fall Out Boy,From Under The Cork Tree,spotify:track:4pmU8AtVu9qU40Xd9zjEfA,44
"A Little Less Sixteen Candles, A Little More ""Touch Me""",Fall Out Boy,From Under The Cork Tree Limited Tour Edition,spotify:track:7lUkWJ4tBAovjDibEtcVt7,44
A Minha Menina,Os Mutantes,"""Os Mutantes""",spotify:track:0lGEWOZvMexZFXckBJxlVO,1
A New Dawn,Sam Gellaitry,IV,spotify:track:6izxFpf1KI94AaOXbBt1BB,1
A Ninety-Year-Old Girl,Joe Hisaishi,Howl's Moving Castle Soundtrack,spotify:track:7topYrvgaZn8GczhWN7Evp,2
A Pearl,Mitski,Be the Cowboy,spotify:track:7fd3aMiuwHWKsTdZafjOfZ,39
A Pearl,Mitski,Be the Cowboy,spotify:track:3udrjWCXCBotzU2uQ05Zmx,39
A Place for My Head,Linkin Park,Hybrid Theory,spotify:track:5rAxhWcgFng3s570sGO2F8,8
A Propeller Driven Bicycle,Joe Hisaishi,Kiki's Delivery Service Soundtrack Music Collection,spotify:track:7a2a3GggBFJWFLiFHMTOGW,1
A Salty Salute,Guided By Voices,Alien Lanes,spotify:track:1oeHOoPRMhyd9CrhjrUZJm,1
A STEP FORWARD INTO TERROR,Shiro SAGISU,NEON GENESIS EVANGELION (Original Series Soundtrack),spotify:track:5DI03bcD70fbU7Cyr6CaIP,1
A Thousand Words,Jay Som,A Thousand Words,spotify:track:19kwQlRCSD21rRDRIRxJ6k,4
A Town with an Ocean View,Joe Hisaishi,Kiki's Delivery Service Soundtrack Music Collection,spotify:track:2ZJ28Rm7OXMYJshLtp5uff,2
A Trophy Fathers Trophy Son,Sleeping With Sirens,Let's Cheers To This,spotify:track:10bSodWJ0q2c63ECltBhIN,32
A Very Busy Kiki,Joe Hisaishi,Kiki's Delivery Service Soundtrack Music Collection,spotify:track:21oBEY5fssYB0z3IvYHDhh,1
A Walk in the Skies,Joe Hisaishi,Howl's Moving Castle Soundtrack,spotify:track:4VJge9qYxmhYEod0CWoEZ7,3
A World Without Cocoon,Masashi Hamauzu,FINAL FANTASY XIII-2 Original Soundtrack,spotify:track:3FjwLjvbn4G04Y8Zf8036H,1
A-Punk,Vampire Weekend,Vampire Weekend,spotify:track:3AydAydLzyyZutA0375XIz,1
A.T.H.F. (Aqua Teen Hunger Force),DANGERDOOM,THE MOUSE & THE MASK,spotify:track:2POGCiWLnFGx8ARnKOww93,1
About A Girl,Nirvana,Nirvana,spotify:track:55yvzYuvJYG2RUEnMK78tr,5
About A Girl,Nirvana,Bleach,spotify:track:0nH4OFO4PasjNGvQv1Z36s,5
About A Girl - Live,Nirvana,MTV Unplugged In New York,spotify:track:48YkpE5enOln5c7jXSTuHL,2
Absolutely (Story of a Girl) - Radio Mix,Nine Days,The Madding Crowd,spotify:track:3mNecsYFb6LQg7822DPXCP,1
Acapulco - MOTi Remix,Jason Derulo,Acapulco,spotify:track:0x85W4yMq53ZrHdhlcBPax,1
Accidentally In Love,Counting Crows,00s Anthems,spotify:track:6mOdbqSh2fLyfVMudAqH3J,2
Accordion,Madvillain,Madvillainy,spotify:track:67vrmPygrZ9giGqHUSReAT,7
Across The Universe - Remastered 2009,The Beatles,Let It Be,spotify:track:4dkoqJrP0L8FXftrMZongF,1
Adagio of Life and Death,Joe Hisaishi,Princess Mononoke Soundtrack,spotify:track:2BXme2nPwGOgqBNadrqkh1,1
Adagio of Life and Death II,Joe Hisaishi,Princess Mononoke Soundtrack,spotify:track:1493YlK6diLlQohjQISkHi,1
Adam's Song,blink-182,Enema Of The State,spotify:track:6xpDh0dXrkVp0Po1qrHUd8,1
Adore,Westkust,Westkust,spotify:track:6owMNE6CzpSndC8aFa4xjx,1
Adore - 2020 Remaster,Prince,Sign O' The Times,spotify:track:5XXiaMsOiCF99p3jL4fCWc,4
Aerodynamic,Daft Punk,Discovery,spotify:track:3H3cOQ6LBLSvmcaV7QkZEu,1
Afraid,The Neighbourhood,I Love You.,spotify:track:7brQHA2CgQpcMBiOlfiXYb,1
African Samurai,Flying Lotus,Yasuke,spotify:track:5lX1t4AskmbbFKudOOC9IL,10
Afro Blue,Robert Glasper,Black Radio Recovered: The Remix EP,spotify:track:1kKLWkqyZEnrOd5tBYYCUn,2
Afro Blue,Robert Glasper,Black Radio,spotify:track:7e0j6jReCfN5KJkDNLHyHQ,2
After Hours,The Weeknd,After Hours,spotify:track:2p8IUWQDrpjuFltbdgLOag,1
After Party,Don Toliver,Heaven Or Hell,spotify:track:527k23H0A4Q0UJN3vGs0Da,2
Afterglow,Wilkinson,Lazers Not Included,spotify:track:6LW3Z1GqbL78TIjfDyg4zp,1
Again,Flyleaf,Memento Mori,spotify:track:3v2XiE8ztYHOsrjIBN4Xh2,1
Aibohphobia,Shakey Graves,Can't Wake Up,spotify:track:0VzpTkgJLOZRjasjG5xLWl,4
Ain't No Easy Way,Black Rebel Motorcycle Club,Howl,spotify:track:57XbiF3mXSAXDntyEw57lW,2
Ain't No Other Man,Christina Aguilera,Back To Basics,spotify:track:7huo2wvrCgRucUsjdSDLQV,10
Ain't No Rest for the Wicked,Cage The Elephant,Cage The Elephant (Expanded Edition),spotify:track:3Pzh926pXggbMe2ZpXyMV7,1
Ain't Nothing Like The Real Thing,Marvin Gaye,You're All I Need,spotify:track:37soQoNhEEIrhhYgHWK1xU,8
Ain't Shit,Doja Cat,Planet Her,spotify:track:5lAnYvAIkSDNXqfo7DyFUm,14
Air Supply - 2021 Remaster,Sweet Trip,You Will Never Know Why (2021 Remaster),spotify:track:7KAXxQfUG4kzRivltbD1UY,1
Airwalks (Alt),Jeff Rosenstock,SKA DREAM,spotify:track:7nU8JlwNZ1usDVfLuoGguS,9
Akasaka Sad,Rina Sawayama,SAWAYAMA,spotify:track:32umfTzGdXsWOTNaRGR5hd,36
Akasaka Sad,Rina Sawayama,SAWAYAMA,spotify:track:1JiQFqhRe5ytvXtQsJlYuR,36
"Album für die Jugend, Op. 68: No. 1. Melodie",Robert Schumann,Semplice,spotify:track:5PUjnxWgqWyo2R4LxVk20r,1
Alemania,Twin Shadow,Twin Shadow,spotify:track:68xEc9xb0TvJpdbSyDGtNu,1
Alex,Roy Blair,Cat Heaven,spotify:track:7iEyBDoonnF13ILng7SEZ7,3
Alien Blues,Vundabar,Gawk,spotify:track:6UjeFOCGYgMpBUtqKg1Je3,6
Aliens Exist,blink-182,Enema Of The State,spotify:track:3nqm3DdVskqbHhmb8S8hMd,1
Alina,Alex G,Rocket,spotify:track:5ZaOSivLmkm59mydbDwI6Q,4
Alison,Slowdive,Souvlaki,spotify:track:33HRECrmuelZxOpid6XTNX,31
Alive,Empire of the Sun,Ice On The Dune,spotify:track:5WBnKCEsPwsvWHUZmLjS3s,1
All Alone,Gorillaz,Demon Days,spotify:track:76Ug1q4l6rGwJ2ubV5wh3X,1
All Apologies,Nirvana,In Utero,spotify:track:1Ic9pKxGSJGM0LKeqf6lGe,3
All Apologies - Live,Nirvana,MTV Unplugged In New York,spotify:track:3bH8PZsfbCRIoeNiFm7JmU,1
All Around Me,Flyleaf,Flyleaf,spotify:track:1zN6ynJG4PdR61YWv4PQ3Y,24
All Caps,Madvillain,Madvillainy,spotify:track:21O0XXPEWPtePt5RMY93Ob,6
All Eyes On Me,Bo Burnham,Inside (The Songs),spotify:track:3rV5y8rcQrwRt9fWGLmjOQ,1
All I C Is U & Me,Death From Above 1979,Outrage! Is Now,spotify:track:6cq70x9O5M5x4j3O38Zvw6,31
All I Have,Jennifer Lopez,This Is Me...Then,spotify:track:3kgutGd839IOYRl6ekeq6V,6
All I Need Is MONEY!,Yoshihisa Hirano,HUNTER×HUNTER セレクト×ベスト×α,spotify:track:1o0Y0of2rU0obyIoULPPOE,4
All I Really Want,Alanis Morissette,Jagged Little Pill,spotify:track:3CKTKuCbHz97i9vYyiP8gt,1
All I Wanted,Paramore,Brand New Eyes,spotify:track:1Bv3h7Vc4AaYA2BcSM3rVd,54
All In,Kartell,All In,spotify:track:4Ks8tQBpkf3mStOv6KDPDc,11
All My Heart,Sleeping With Sirens,Let's Cheers To This,spotify:track:3UNpuMVr2aSWu3Fzj2846p,19
All My Heroes - Radio Edit,Naeleck,All My Heroes,spotify:track:0TRmtiR9q6XnYDzXmoMpGC,1
All My Heroes Are Cornballs,JPEGMAFIA,All My Heroes Are Cornballs,spotify:track:4TfauqAajgNMANTOBu70zJ,5
All My Love - Remaster,Led Zeppelin,Mothership,spotify:track:5UdShl12E6eHEgS8lQ1bPr,1
All My Own Stunts,Arctic Monkeys,Suck It and See,spotify:track:3q64P4oQSP2XdhiEivHafZ,8
All Of The Lights (Interlude),Kanye West,My Beautiful Dark Twisted Fantasy,spotify:track:4D6TpthzUVNTjWQqfBW5Kb,2
All or Nothing,Naoshi Mizuta,FINAL FANTASY XIII-2 Original Soundtrack,spotify:track:2EdXUls9mq95UBTVntqTBI,1
All The Small Things,blink-182,Enema Of The State,spotify:track:2m1hi0nfMR9vdGC8UcrnwU,3
All These Nights,Antarctigo Vespucci,Love in the Time of E-Mail,spotify:track:1lsbPba6Qn4ouM1brBZYvD,1
All These Things That I've Done,The Killers,Hot Fuss,spotify:track:5vollujufHY0jMZxx77VWr,1
All This Useless Energy,Jeff Rosenstock,POST-,spotify:track:3bCHFldNq9jcHyKX2C9VKX,6
Almost,Bowling For Soup,A Hangover You Don't Deserve,spotify:track:6TclVCUxDQm9s3Bey6Ao8H,1
Alone,Ty Segall,Melted,spotify:track:4ac8pAEa7a4jxc1aebXssW,8
Alone,Doja Cat,Planet Her,spotify:track:45Nc6nYgV3yBvAeRaZt689,8
Alone (feat. MGK),Sleeping With Sirens,Feel,spotify:track:2KxgTDM5DTz1uO4rOhlkzR,1
Alone Again,The Weeknd,After Hours,spotify:track:6b5P51m8xx2XA6U7sdNZ5E,5
Alright,Supergrass,I Should Coco,spotify:track:5xC8uOesnn0udeXAYlAnoY,1
Alrighty Aphrodite,Peach Pit,Being So Normal,spotify:track:6OiRh4kttAs1YWglvTcYkB,1
Also Frightened,Animal Collective,Merriweather Post Pavilion,spotify:track:6dRAwuJNZ79vGXvcYuPaM8,10
Alta,Ty Segall,Freedom's Goblin,spotify:track:5CVWisAINP7CDvZ0NNv2qT,1
Always Alright,Alabama Shakes,Always Alright,spotify:track:6ckUX8cgcqjoNGTd2A2Pvd,1
Always On,Death From Above 1979,The Physical World,spotify:track:2IKXIejpzcK8YRQaA7Zn4O,23
Always See Your Face,Love,Four Sail,spotify:track:6OojY4NdPiEGWHV2EUSwHz,3
AM I DREAMING (feat. Miley Cyrus),Lil Nas X,MONTERO,spotify:track:6isTQfKXhNO3EyJd9mSxx8,15
Amandla's Interlude,Steve Lacy,Apollo XXI,spotify:track:66nc8Tv8zeo4N9ZSoG3kPI,7
Amber,The Revivalists,Men Amongst Mountains,spotify:track:4uCXesTcaUjmB4hv5jvuys,1
Amend,j^p^n,Spoils,spotify:track:7LOR8Rdc5n2EkduOXZeTp6,1
America's Most Blunted,Madvillain,Madvillainy,spotify:track:1QmVaiJKcXUMMBfd1fonI0,5
America's Suitehearts,Fall Out Boy,Folie à Deux,spotify:track:3Dg1BK3rHo6mCvzSO2b9Ct,23
American Beauty,Girlpool,Girlpool,spotify:track:208CRPgv5UKGdUn2urxkxf,27
American Blood,Dead Poet Society,American Blood,spotify:track:2MO6XvzlEBKA0PoRqAt9J9,1
American Spirits,Inner Wave,III,spotify:track:01w1oN1WO5aOThHnLBN8eS,1
American Sports,Arctic Monkeys,Tranquility Base Hotel & Casino,spotify:track:0mQiDbYxHElUp1eNpLZXaY,6
Amsterdam,Nothing But Thieves,Broken Machine (Deluxe),spotify:track:454I78HEySdcHE8fcVabTb,1
An Arrow Through Time,Masashi Hamauzu,FINAL FANTASY XIII-2 Original Soundtrack,spotify:track:3BhjpIN7KQkaszHC4KnKy0,1
An Encounter,The 1975,The 1975,spotify:track:3Uuf7UQy96o8rkyEXSmAmv,1
An Ode To No One - Remastered 2012,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness,spotify:track:6W9nK2wPyJklgDVf0AQcPO,1
And It Never Ends,Crumb,Jinx,spotify:track:0U1HzEEpoAkEg7nsE35rZD,2
Andromeda (feat. DRAM),Gorillaz,Humanz,spotify:track:2C0KFbb4v9CNWR5c9jWcKC,1
ANGEL ATTACK,Shiro SAGISU,NEON GENESIS EVANGELION (Original Series Soundtrack),spotify:track:4B3Aa2w9bCeWbZu8IwFx0n,3
Angel of Doom,Shiro SAGISU,Evangelion: 1.0 You Are (Not) Alone (Original Soundtrack Album),spotify:track:480g4Wdq5XeLqURUaQIBzI,6
Animal,Badflower,Temper,spotify:track:0CBM2iiBZmfKntDeQYboqU,4
Animal,Miike Snow,Miike Snow,spotify:track:6vSq5q5DCs1IvwKIq53hj2,4
Annie,Neon Indian,VEGA INTL. Night School,spotify:track:0GaDEH6o2nxvqRPqNTCtET,1
Annihilation of Pejite,Joe Hisaishi,Nausicaä of the Valley of the Wind Soundtrack: Towards the Faraway Land,spotify:track:4a5dmjOAsnkYkzXPV0dXGa,5
Another Love Song,Queens of the Stone Age,Songs For The Deaf,spotify:track:5HjEC3NlSzKsVKmqnhXrum,2
Another One,Sam Smith,Love Goes,spotify:track:61nXG1EGqF8a9OgRlCLSB4,1
"Another Rise, Another Fall",Miami Horror,All Possible Futures,spotify:track:5WFKDbE3VbZvbt56ECPOHo,1
Another Sunny Day,Belle and Sebastian,The Life Pursuit,spotify:track:07ZSQZzH92n1uwEG0m8M4f,1
Another Weekend,Ariel Pink,Dedicated To Bobby Jameson,spotify:track:2gPFK3pmM7zzws174NrjkG,1
Anotherloverholenyohead,Prince,Parade - Music from the Motion Picture Under the Cherry Moon,spotify:track:1M9LnSZjeyLKn0GwT1Xg27,1
Antoinette's Tale,Jazmine Sullivan,Heaux Tales,spotify:track:7tqIKNBfS2sKSd013aOFBE,5
Anxious,Hippo Campus,Bambi,spotify:track:7g13GDQHVRL0yfLaW70Soa,1
Anything,Mannequin Pussy,Romantic,spotify:track:6yOMmo0Kv4oxsbPBwREYJI,7
Apartment,Modern Baseball,You're Gonna Miss It All,spotify:track:0vNkUB9llJ7AgPpJNHS3l1,2
"Aquí, Allá y Donde Sea",Los Darts,Grandes Éxitos de los Darts,spotify:track:5thj9pWp7YxBZA0pbP5I1r,2
Arabella,Arctic Monkeys,AM,spotify:track:7nzsY8vlnKdvGOEE0rjAXZ,15
Archangel,Burial,Untrue,spotify:track:1aaIYTqoRDzRUilU2Q6vTe,2
Are You Bored Yet? (feat. Clairo),Wallows,Nothing Happens,spotify:track:57RA3JGafJm5zRtKJiKPIm,1
Ari's Tale,Jazmine Sullivan,Heaux Tales,spotify:track:13IgO5G6ZBk7mXAhEWBwyO,2
Art School,Remo Drive,Greatest Hits,spotify:track:4vwEz8K8Z2COiJ3N9G9Ypv,7
As I Love You,Shirley Bassey,The Collection,spotify:track:1SE6TJ450AGNqhJX2njEia,14
As the Darkness Falls,Maxence Cyrin,Melancholy Island,spotify:track:02tjXDTJtONTpjw4XZny3n,1
"As We Go Up, We Go Down",Guided By Voices,Alien Lanes,spotify:track:3L1Fumo5u8mGvX10PK3vwG,1
Ascension (feat. Vince Staples),Gorillaz,Humanz,spotify:track:2bBMODHVTXGwE2aZYfbgCt,2
Ashitaka and San,Joe Hisaishi,Princess Mononoke Soundtrack,spotify:track:6JNgTjdCMt4lYqFfFaBtCr,1
Assault,Masashi Hamauzu,FINAL FANTASY X Original Soundtrack,spotify:track:2zEsA5nj5Y4UnjbV2ia45n,2
Assumptions,Sam Gellaitry,IV,spotify:track:4NczzeHBQPPDO0B9AAmB8d,7
ASUKA STRIKES!,Shiro SAGISU,NEON GENESIS EVANGELION (Original Series Soundtrack),spotify:track:3hGy8RQwf7pRoJXe5RYV0z,1
At Doom's Gate,Mick Gordon,Doom (Original Game Soundtrack),spotify:track:2UKgx2oba7CltHLACr3xdT,1
At Night In Dreams,White Denim,Corsicana Lemonade,spotify:track:402inY9UFrPImLssOP0Wo8,1
At the Party,Black Belt Eagle Scout,At the Party With My Brown Friends,spotify:track:2XPyZh8DTgaYYb9xK4dPGj,1
Audio Delite at Low Fidelity,Black Eyed Peas,Monkey Business,spotify:track:7Jt1yE80cKUacWgiSrvxBZ,2
Auron's Theme,Nobuo Uematsu,FINAL FANTASY X Original Soundtrack,spotify:track:0f9CBU81AcH0AdqSqMSrZm,5
Autodidact,Swervedriver,I Wasn't Born to Lose You,spotify:track:1OdRaySBx3kO28O6nMiXGD,1
Automate,Snail Mail,Valentine,spotify:track:6ZXH6YfcouRBWanewWxuuz,1
Axesteel,Alex G,DSU,spotify:track:4YDUPfzc2xh0O1M8Dt1Ri3,1
b yr own b,illuminati hotties,FREE I.H: This Is Not the One You've Been Waiting For,spotify:track:3McdeQ43WwBw2kSzatbN0V,3
B4 The Computer Crash,Vegyn,B4 The Computer Crash,spotify:track:15aG4JSTSOOpJiTYxLvMjT,1
Baby,Gal Costa,Gal Costa,spotify:track:0C13P4IghHNFPjt4zIJ8vX,3
Baby,Donnie & Joe Emerson,Dreamin' Wild,spotify:track:62wdQ5CInFr7cjISqrr46f,3
Baby Alligator,Ovlov,TRU,spotify:track:4iow42ixA2Xk6SGWFBvbzB,3
BABY BLUE,Fishmans,空中キャンプ,spotify:track:2Eot25c6UOeLc4jcN3fEQF,1
Baby I'm a Star,Prince,Purple Rain,spotify:track:2soBvUQBf5rbMj9HIyhzzK,1
"Baby, Baby Don't Cry - Stereo",Smokey Robinson & The Miracles,Time Out For Smokey Robinson & The Miracles,spotify:track:5kJpLI5axvOQbGt0x4Nsko,2
Babydoll,Dominic Fike,"Don't Forget About Me, Demos",spotify:track:7yNf9YjeO5JXUE3JEBgnYc,6
babys breath (original version),Lovesliescrushing,Girl Echo Suns Veils,spotify:track:2nZtsOgSYRZQqAqBAg4xwX,2
"Bach, JS: Goldberg Variations, BWV 988: Aria",Johann Sebastian Bach,"Bach, JS: Goldberg Variations",spotify:track:5oc54CC6nWMJPmzsgLvYnR,1
Back Seat Driver,Shakey Graves,Can't Wake Up,spotify:track:4S2QYvlfrchiIbtbxGG3ES,2
Bad Blood,Bastille,Bad Blood,spotify:track:2HHiH52OPxe8qyVO7N4uH7,1
Bad Dream,Cannons,Bad Dream,spotify:track:2IwbIGkquI55VOzcWUg8fg,1
Bad Friend,Rina Sawayama,SAWAYAMA,spotify:track:3QaODmQmosIaRZFVmu7zjq,25
Bad Friend,Rina Sawayama,SAWAYAMA,spotify:track:1ApN1loxlt0rzRFc8iETw7,25
bad idea,Ariana Grande,"thank u, next",spotify:track:5Il6Oe7lr5XM7A0cWbVQtr,2
Bad Kids,Black Lips,Good Bad Not Evil,spotify:track:7wexq2QIYnZPVoZIJ4qvR4,1
Bad Man,Alex G,House of Sugar,spotify:track:73qKR2EaV4CbzdCHCV7XdP,2
Bad Words,Tobias Jesso Jr.,Goon,spotify:track:5EcHz3KyGaKYHYUWwVRkyb,1
Badillac,Together Pangea,Badillac,spotify:track:5tQkgG7unCiJxaOFp5yc5O,1
Bag Lady,Erykah Badu,Mama's Gun,spotify:track:7BgUcOjSOlKJXASLgJ6bx1,1
Bang on the Door,Jeff Rosenstock,WORRY.,spotify:track:6t9rpjrwVfbzobYlI19Ixx,8
Bang The Doldrums,Fall Out Boy,Infinity On High,spotify:track:1Fvf8AO4GWwjLU12Im0s0q,18
Bang!,AJR,Bang!,spotify:track:53BHUFdQphHiZUUG3nx9zn,1
BANKROLL (feat. A$AP Rocky & A$AP Ferg),BROCKHAMPTON,"ROADRUNNER: NEW LIGHT, NEW MACHINE",spotify:track:3MK6OsCb4VJGdPxvXjW8Q9,10
Banquet,Bloc Party,Silent Alarm,spotify:track:2YxXuCdbUpil3P7tRjhW1t,2
Bare Hands,PUP,Morbid Stuff,spotify:track:0ltXEHv2uh7D8aOxzNVOqE,1
BAREFOOT IN THE PARK,Shiro SAGISU,NEON GENESIS EVANGELION (Original Series Soundtrack),spotify:track:63guTqlCMP66ifj7ZdmQe4,2
Bartender (feat. Akon),T-Pain,Epiphany,spotify:track:1RGIjMFMgJxkZHMDXVYzOJ,1
Baseball,Gulfer,Dog Bless,spotify:track:5S2vUDjEZ5nQ4pITDV4LGb,6
Basement Jack,Steve Lacy,Apollo XXI,spotify:track:30o8E8pmxyWDVvjud2WE5i,14
BasicBitchTearGas,JPEGMAFIA,All My Heroes Are Cornballs,spotify:track:2XEdf7cprB6FSURwzFdxMp,1
Bataille Decisive,Shiro SAGISU,Evangelion: 1.0 You Are (Not) Alone (Original Soundtrack Album),spotify:track:1nXyvki4ZKc0UaPNJcIAmm,6
Batphone,Arctic Monkeys,Tranquility Base Hotel & Casino,spotify:track:7seSDB6TiLZarbicyDIjiQ,2
Batshit,Dominic Fike,"Don't Forget About Me, Demos",spotify:track:75adejSrOgdhLRTOhUkuX2,3
Battle,Joe Hisaishi,Nausicaä of the Valley of the Wind Soundtrack: Towards the Faraway Land,spotify:track:44JkqWZy9BSSeXwQ8l7XyB,5
Battle Drums,Joe Hisaishi,Princess Mononoke Soundtrack,spotify:track:4ItfYlQp0opKgiZ9JsG00D,3
Battle in Front of the Ironworks,Joe Hisaishi,Princess Mononoke Soundtrack,spotify:track:5N5QVEHRRhb9U4r6c3NxaL,3
Battle Theme,Nobuo Uematsu,FINAL FANTASY X Original Soundtrack,spotify:track:5TU2tVnNNCllx1hbXjmJ0B,11
