track,artist,album,uri,times_played
¡Viva La Gloria!,Green Day,21st Century Breakdown,spotify:track:575urseJcD6iGioNWuQy3H,1
'39 - Remastered 2011,Queen,A Night At The Opera,spotify:track:0kIpcu3DQacQObHVyra9Jx,1
'Cause I'm A Man,Tame Impala,Currents,spotify:track:2O99aywAVBhaPrsiJ6zbSS,1
"""From Now On We Are Enemies""",Fall Out Boy,Believers Never Die - Greatest Hits,spotify:track:2hC4LPebn0xctVGsVPOwJX,5
"""The Take Over, The Breaks Over""",Fall Out Boy,Believers Never Die - Greatest Hits,spotify:track:648b848TFWWIIhusas61F7,3
(Ain't That) Just Like Me - 1997 Remaster,The Hollies,50 at Fifty,spotify:track:3RGbpWfbc4YmBhOUlHWCWj,1
(And She Said) Take Me Now,Justin Timberlake,Justified,spotify:track:44FZ6TP6a75s7eU62nHBZ3,1
(Another Song) All Over Again,Justin Timberlake,FutureSex/LoveSounds Deluxe Edition,spotify:track:0Gasl1wiqhENYa8RskLpPw,1
(Coffee's For Closers),Fall Out Boy,Folie à Deux,spotify:track:7iT7qkF9L06cYaIee0aY7B,27
(Exactly Where We're From),Mirah,C'mon Miracle,spotify:track:7hyxxxDVGJq3pWeK527oqB,1
(Girl We Got A) Good Thing,Weezer,Weezer (White Album),spotify:track:2Sg9Iq2Q29hMNXa7ZpKxaG,1
"(I Can't Get No) Satisfaction - Live At The Beacon Theatre, New York / 2006",The Rolling Stones,Shine A Light,spotify:track:2cpSp9PIM8Rs8gMfHcGCOa,1
(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,Out Of Our Heads,spotify:track:2PzU4IB8Dr6mxV3lHuaG34,2
(I Don't Want To Go To) Chelsea,Elvis Costello & The Attractions,This Year's Model,spotify:track:0mq1y8G1tgzDx33qKc8qTZ,5
(I'm Afraid) The Masquerade Is Over,Marvin Gaye,Then & Now,spotify:track:0zeeid4yRYI3FGESvamCsy,1
(Oh No) What You Got,Justin Timberlake,Justified,spotify:track:1iebvc2gYV8wni1jana3Uk,2
(Sittin' On) the Dock of the Bay,Otis Redding,"Atlantic 60th: Soul, Sweat And Strut",spotify:track:50uGbeaQIxKiSc7jvRTjWx,1
(Wish I Could Fly Like) Superman,The Kinks,Low Budget,spotify:track:4uDnx2eQm8V9Fnj0L0k8bb,1
#deep,Bo Burnham,what.,spotify:track:6OIq2e2RktWjiYi6xNZHqF,13
"10,000 Emerald Pools",BØRNS,Dopamine,spotify:track:2pA4ip3VIEVcIa3qE02oAX,1
100 Knives,Mirah,"You Think It's Like This, But Really It's Like This",spotify:track:3O37G9E6QVbAd5XldaWHfc,4
100 Knives,Mirah,You Think It's Like This But Really It's Like This,spotify:track:4zqKOoq2kqy4XboXFbhHyz,4
100 Lovers,Tennis,Small Sound,spotify:track:5NFKw1DM9TkT17PeOIOtV3,1
1000 Arms,Lymbyc Systym,Carved By Glaciers,spotify:track:0zZIYr7bxWx4RMQx5k4R3G,1
19-2000,Gorillaz,Gorillaz,spotify:track:1kSWrMDt439cT64WpjJigW,9
1901,Phoenix,Wolfgang Amadeus Phoenix,spotify:track:5JtPGzRgrWxkXX9LoROq3d,13
1969,The Stooges,The Stooges,spotify:track:4nJCE9UyNXhuERnSX8YgSH,6
1979 - Remastered 2012,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness,spotify:track:3Y8Ff1nH44jFywAtpgmleZ,12
1983...(A Merman I Should Turn to Be),Jimi Hendrix,Electric Ladyland,spotify:track:5uDpwSGjljhIgDB1ZYdp9c,13
1998 (Delicious),Peace,EP Delicious,spotify:track:5eqzXinSklkN4gId6EQUAR,5
20 Dollar Nose Bleed,Fall Out Boy,Folie à Deux,spotify:track:3RHZzTT1RhYV6zicKUc4FM,14
20 Years,The Civil Wars,Barton Hollow,spotify:track:4psC5agYNMRBscGeLTqhc3,1
2000 Light Years Away,Green Day,Kerplunk!,spotify:track:6pM25DLzJb5oWj74d3ElXI,1
2013,Arctic Monkeys,Do I Wanna Know?,spotify:track:52wisas0DjBkVFPk6sVXk3,23
21 Guns,Green Day,21st Century Breakdown,spotify:track:64yrDBpcdwEdNY9loyEGbX,1
240 Years Before Your Time,The Black Keys,The Big Come Up,spotify:track:3S4za4Qsy4FY35sj0oPzDq,1
27,Fall Out Boy,Folie à Deux,spotify:track:6gRgweWPiX1ii33coNlTt8,5
2AM,Bear Hands,2AM,spotify:track:5274O2wzp4yDsvuEKHTm22,1
