Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5mtfHX4VyY5D81WMaOHgHV,"6PEMFpe3PTOksdV4ZXUpbE,3jK9MiCrA42lLAdMGUZpwa,17Zu03OgBVxgLxWmRUyNOJ","What More Can I Say","Yes Lawd!","NxWorries,Anderson .Paak,Knxwledge",2016-10-21,156133,53,spotify:user:prancingoctopus,2023-12-03T22:21:48Z,"alternative r&b,indie soul,escape room,hip hop,neo soul,abstract beats,alternative hip hop,instrumental hip hop,wonky",0.455,0.529,9,-5.693,0,0.153,0.148,0,0.161,0.55,74.885,4
388jD8ko9cvFM9cd9TYDrl,"4LLpKhyESsyAXpc4laK94U","ROS","GO:OD AM","Mac Miller",2015-09-18,343213,68,spotify:user:prancingoctopus,2023-12-03T22:21:56Z,"hip hop,pittsburgh rap,pop rap,rap",0.535,0.448,1,-8.919,0,0.175,0.601,0,0.376,0.284,120.554,4
15EPc80XuFrb2LmOzGjuRg,"5XenQ7XfcvQdfIbpLEFaKQ,3tlXnStJ1fFhdScmQeLpuG,1DvtabXAjfrMihPP6JQdHs","Crew (feat. Brent Faiyaz & Shy Glizzy)","At What Cost","GoldLink,Brent Faiyaz,Shy Glizzy",2017-03-24,176702,80,spotify:user:prancingoctopus,2023-12-03T22:22:05Z,"alternative r&b,r&b,rap,drill,memphis hip hop,trap",0.728,0.607,1,-8.417,0,0.132,0.133,0,0.0864,0.445,129.938,4
3nAq2hCr1oWsIU54tS98pL,"5K4W6rqBFWDnAN6FQUkS6x","Waves","The Life Of Pablo","Kanye West",2016-06-10,181573,74,spotify:user:prancingoctopus,2023-12-03T22:22:14Z,"chicago rap,hip hop,rap",0.557,0.586,10,-4.57,1,0.0382,0.0528,0.00000733,0.339,0.0681,96.091,4
3AM2ihc5RFzbC47eCpTg2I,"2P5sC9cVZDToPxyomzF1UH","Waves","1999","Joey Bada$$",2012-06-12,211630,64,spotify:user:prancingoctopus,2023-12-03T22:22:27Z,"conscious hip hop,hip hop,rap",0.733,0.912,8,-3.239,0,0.223,0.223,0,0.206,0.888,89.947,4
3O7mUOMCFkEeeWBDzgWtiq,"360IAlyVv4PCEVjgyMZrxK","DEAL","Wildheart (Deluxe Version)","Miguel",2015-06-26,257959,30,spotify:user:prancingoctopus,2023-12-03T22:22:37Z,"r&b,urban contemporary",0.572,0.844,2,-7.659,1,0.112,0.000301,0.000719,0.31,0.48,107.015,4
4xSQLj346ynlX8vopebWTQ,"6PEMFpe3PTOksdV4ZXUpbE,3jK9MiCrA42lLAdMGUZpwa,17Zu03OgBVxgLxWmRUyNOJ","Link Up","Yes Lawd!","NxWorries,Anderson .Paak,Knxwledge",2016-10-21,211093,43,spotify:user:prancingoctopus,2023-12-03T22:22:45Z,"alternative r&b,indie soul,escape room,hip hop,neo soul,abstract beats,alternative hip hop,instrumental hip hop,wonky",0.656,0.814,1,-7.228,1,0.269,0.0861,0.00037,0.173,0.526,100.086,4
7jaYiqwCFQDdtxfQaSzZuM,"5XenQ7XfcvQdfIbpLEFaKQ,7gSjFKpVmDgC2MMsnN8CYq,6qgnBH6iDM91ipVXv28OMu","Meditation (feat. Jazmine Sullivan & KAYTRANADA)","At What Cost","GoldLink,Jazmine Sullivan,KAYTRANADA",2017-03-24,258784,51,spotify:user:prancingoctopus,2023-12-03T22:22:58Z,"alternative r&b,hip pop,neo soul,r&b,urban contemporary,escape room,indie soul,lgbtq+ hip hop",0.849,0.703,4,-7.069,0,0.193,0.0303,0,0.0831,0.405,115.052,4
5iUQMwxUPdJBFeGkePtM66,"4LLpKhyESsyAXpc4laK94U,3jK9MiCrA42lLAdMGUZpwa","Dang! (feat. Anderson .Paak)","The Divine Feminine","Mac Miller,Anderson .Paak",2016-09-16,305350,75,spotify:user:prancingoctopus,2023-12-03T22:23:04Z,"hip hop,pittsburgh rap,pop rap,rap,escape room,indie soul,neo soul",0.836,0.67,5,-6.907,0,0.23,0.00826,0.000355,0.0837,0.556,107.018,4
3lB0GMiI5KxDbTOG8V3bOx,"360IAlyVv4PCEVjgyMZrxK,5INjqkS1o8h1imAzPqGZBb","waves - Tame Impala Remix","Rogue Waves","Miguel,Tame Impala",2016-02-26,253346,66,spotify:user:prancingoctopus,2023-12-03T22:23:18Z,"r&b,urban contemporary,australian psych,modern rock,neo-psychedelic,rock",0.529,0.894,2,-3.599,1,0.0412,0.308,0.00000538,0.254,0.543,108.024,4
7zFXmv6vqI4qOt4yGf3jYZ,"20wkVLutqVOYrc0kxFs7rA,1U1el3k54VvEUzo3ybLPlM","Get You (feat. Kali Uchis)","Freudian","Daniel Caesar,Kali Uchis",2017-08-25,278179,85,spotify:user:prancingoctopus,2023-12-03T22:23:28Z,"canadian contemporary r&b,colombian pop",0.658,0.294,4,-8.533,0,0.0321,0.422,0.000052,0.0749,0.358,74.038,4
1R31tpwFjbzVvPuw5bOVgH,"3jK9MiCrA42lLAdMGUZpwa,3QTDHixorJelOLxoxcjqGx","Already (feat. SiR)","Venice","Anderson .Paak,SiR",2014-10-28,194011,51,spotify:user:prancingoctopus,2023-12-03T22:23:42Z,"escape room,hip hop,indie soul,neo soul,alternative r&b,la pop",0.506,0.671,6,-5.802,0,0.308,0.0706,0.00846,0.765,0.482,75.273,4
02sagHhK9h0nODtzjF33yP,"6PEMFpe3PTOksdV4ZXUpbE,3jK9MiCrA42lLAdMGUZpwa,17Zu03OgBVxgLxWmRUyNOJ","Lyk Dis","Yes Lawd!","NxWorries,Anderson .Paak,Knxwledge",2016-10-21,150760,52,spotify:user:prancingoctopus,2023-12-03T22:23:49Z,"alternative r&b,indie soul,escape room,hip hop,neo soul,abstract beats,alternative hip hop,instrumental hip hop,wonky",0.703,0.493,1,-6.217,0,0.278,0.0339,0,0.449,0.579,85.039,4
0QyJXG36Q3Kta662XS8GhY,"2ICR2m4hOBPhaYiZB3rnLW","Too Fast","Into","Sonder",2017-01-27,295800,72,spotify:user:prancingoctopus,2023-12-03T22:23:57Z,"experimental r&b",0.407,0.323,4,-11.076,0,0.041,0.281,0.0000242,0.487,0.136,99.209,3
5lYXMlzWEc8uDbMd1v0V35,"6PEMFpe3PTOksdV4ZXUpbE,3jK9MiCrA42lLAdMGUZpwa,17Zu03OgBVxgLxWmRUyNOJ","Scared Money","Yes Lawd!","NxWorries,Anderson .Paak,Knxwledge",2016-10-21,177146,47,spotify:user:prancingoctopus,2023-12-03T22:24:06Z,"alternative r&b,indie soul,escape room,hip hop,neo soul,abstract beats,alternative hip hop,instrumental hip hop,wonky",0.544,0.836,5,-7.416,1,0.0953,0.473,0,0.209,0.893,170.264,3
1yo5POfHJT1LASjQlsvF0Q,"360IAlyVv4PCEVjgyMZrxK,6NyJIFHAePjHR1pFxwisqz","NWA (feat. Kurupt)","Wildheart (Deluxe Version)","Miguel,Kurupt",2015-06-26,214093,33,spotify:user:prancingoctopus,2023-12-03T22:24:13Z,"r&b,urban contemporary,g funk,west coast rap",0.759,0.498,11,-7.756,0,0.0367,0.00796,0.0014,0.371,0.524,92.995,4
0q75NwOoFiARAVp4EXU4Bs,"7tYKF4w9nC0nq9CsPZTHyP,0Y5tJX1MQlPlqiwlOH1tJY","Love Galore (feat. Travis Scott)","Ctrl","SZA,Travis Scott",2017-06-09,275080,80,spotify:user:prancingoctopus,2023-12-03T22:24:22Z,"pop,r&b,rap,hip hop,slap house",0.795,0.594,0,-6.2,1,0.0748,0.112,0,0.162,0.409,135.002,4
6PGoSes0D9eUDeeAafB2As,"2YZyLoL8N0Wb9xBt1NhZWg,3qBKjEOanahMxlRojwCzhI","LOVE. FEAT. ZACARI.","DAMN.","Kendrick Lamar,Zacari",2017-04-14,213400,85,spotify:user:prancingoctopus,2023-12-03T22:24:31Z,"conscious hip hop,hip hop,rap,west coast rap",0.8,0.585,10,-7.343,1,0.0924,0.264,0,0.153,0.779,126.058,4
0utlOiJy2weVl9WTkcEWHy,"6l3HvQ5sa6mXTsMTB19rO5","Neighbors","4 Your Eyez Only","J. Cole",2016-12-09,216520,75,spotify:user:prancingoctopus,2023-12-03T22:24:38Z,"conscious hip hop,hip hop,north carolina hip hop,rap",0.898,0.283,6,-12.335,0,0.356,0.319,0.000383,0.11,0.469,138.97,4
6SwRhMLwNqEi6alNPVG00n,"2YZyLoL8N0Wb9xBt1NhZWg,5pKCCKE2ajJHZ9KAiaK11H","LOYALTY. FEAT. RIHANNA.","DAMN.","Kendrick Lamar,Rihanna",2017-04-14,227360,79,spotify:user:prancingoctopus,2023-12-03T22:24:43Z,"conscious hip hop,hip hop,rap,west coast rap,barbadian pop,pop,urban contemporary",0.658,0.535,9,-8.983,0,0.0573,0.0265,0,0.2,0.419,110.684,4
4THgRPmLvhNmM9Lzj8qrvH,"360IAlyVv4PCEVjgyMZrxK","Do You...","Kaleidoscope Dream","Miguel",2012-09-28,207920,51,spotify:user:prancingoctopus,2023-12-03T22:24:54Z,"r&b,urban contemporary",0.593,0.589,11,-6.401,1,0.0366,0.462,0.00000388,0.0937,0.306,148.055,4
7BiELrM90hRxpozaIXbsLw,"5pKCCKE2ajJHZ9KAiaK11H","Sex With Me","ANTI (Deluxe)","Rihanna",2016-01-28,206400,74,spotify:user:prancingoctopus,2023-12-03T22:25:01Z,"barbadian pop,pop,urban contemporary",0.58,0.532,1,-5.668,0,0.0424,0.294,0,0.0948,0.39,112.049,4
6gU9OKjOE7ghfEd55oRO57,"7tYKF4w9nC0nq9CsPZTHyP","The Weekend","Ctrl","SZA",2017-06-09,272186,78,spotify:user:prancingoctopus,2023-12-03T22:25:09Z,"pop,r&b,rap",0.4,0.366,8,-9.405,0,0.0597,0.242,0,0.126,0.161,73.313,3
2Nh2cMryoXl7BrZoIeN2Pr,"6vHBuUxrcpn1do5UaEJ7g6,3jK9MiCrA42lLAdMGUZpwa","Dapper (feat. Anderson .Paak)","Genesis","Domo Genesis,Anderson .Paak",2016-03-25,193093,56,spotify:user:prancingoctopus,2023-12-03T22:25:16Z,"alternative hip hop,underground hip hop,escape room,hip hop,indie soul,neo soul",0.753,0.594,1,-9.486,0,0.0816,0.0711,0,0.391,0.562,112.568,4
042wd4CrF4WTAwiKs0F7Ve,"3tlXnStJ1fFhdScmQeLpuG","First World Problemz / Nobody Carez","Sonder Son","Brent Faiyaz",2017-10-13,350548,58,spotify:user:prancingoctopus,2023-12-03T22:25:31Z,"r&b,rap",0.582,0.502,3,-11.053,0,0.102,0.259,0.000378,0.16,0.555,85.629,4
0eEXcw3JLVXcRxYrVYMy68,"09hVIj6vWgoCDtT03h8ZCa","Electric Relaxation","The Anthology","A Tribe Called Quest",1999-10-26,226133,71,spotify:user:prancingoctopus,2023-12-03T22:25:39Z,"conscious hip hop,east coast hip hop,golden age hip hop,hip hop,jazz rap,queens hip hop",0.866,0.534,11,-9.201,1,0.229,0.184,0.266,0.0929,0.841,98.243,4
60ZZNXIdwgUGkVGRt7foLT,"5XenQ7XfcvQdfIbpLEFaKQ,3ycxRkcZ67ALN3GQJ57Vig","Late Night (feat. Masego)","And After That, We Didn't Talk","GoldLink,Masego",2015-11-06,161080,56,spotify:user:prancingoctopus,2023-12-03T22:25:49Z,"alternative r&b,indie soul",0.442,0.446,9,-11.354,0,0.786,0.278,0,0.308,0.295,51.539,4
1GJr5BQIOvzFEoQlrufunl,"3jK9MiCrA42lLAdMGUZpwa","Your Prime","Malibu","Anderson .Paak",2016-01-15,237106,41,spotify:user:prancingoctopus,2023-12-03T22:25:57Z,"escape room,hip hop,indie soul,neo soul",0.601,0.641,8,-5.202,1,0.157,0.215,0.013,0.172,0.556,160.926,4
0jx8zY5JQsS4YEQcfkoc5C,"1anyVhU62p31KFi8MEzkbf,7Hjbimq43OgxaBRpFXic4x","Angels (feat. Saba)","Coloring Book","Chance the Rapper,Saba",2016-05-27,206240,58,spotify:user:prancingoctopus,2023-12-03T22:26:05Z,"chicago rap,conscious hip hop,hip hop,pop rap,rap,alternative r&b",0.771,0.647,5,-5.127,0,0.376,0.294,0,0.37,0.678,155.914,4
366DLDHAnvMnHP5ECYt4N7,"3Gm5F95VdRxW3mqCn8RPBJ","Blinds","Good For You","Aminé",2017-07-28,86506,48,spotify:user:prancingoctopus,2023-12-03T22:26:14Z,"pop rap,portland hip hop,rap,underground hip hop",0.818,0.45,6,-5.557,1,0.21,0.0463,0,0.0774,0.769,90.096,4
7bcFjy9JRa6DDkctTVGZ6E,"3jK9MiCrA42lLAdMGUZpwa","Luh You","Venice","Anderson .Paak",2014-10-28,210720,46,spotify:user:prancingoctopus,2023-12-03T22:26:20Z,"escape room,hip hop,indie soul,neo soul",0.697,0.72,7,-5.805,1,0.351,0.0954,0.00000204,0.0819,0.662,117.051,4
5WoaF1B5XIEnWfmb5NZikf,"360IAlyVv4PCEVjgyMZrxK,0Y5tJX1MQlPlqiwlOH1tJY","Sky Walker (feat. Travis Scott)","War & Leisure","Miguel,Travis Scott",2017-12-01,259333,75,spotify:user:prancingoctopus,2023-12-03T22:26:27Z,"r&b,urban contemporary,hip hop,rap,slap house",0.674,0.506,6,-10.532,1,0.0434,0.173,0,0.0866,0.183,145.965,4
1otG6j1WHNvl9WgXLWkHTo,"1U1el3k54VvEUzo3ybLPlM,4V8LLVI7PbaPR0K2TGSxFF,5K0rbdBrs2tNXe5LeWMATT","After The Storm (feat. Tyler, The Creator & Bootsy Collins)","Isolation","Kali Uchis,Tyler, The Creator,Bootsy Collins",2018-04-06,207454,83,spotify:user:prancingoctopus,2023-12-03T22:26:34Z,"colombian pop,hip hop,rap,funk,p funk,quiet storm,soul",0.702,0.659,4,-6.766,0,0.13,0.301,0.00201,0.218,0.843,79.64,4
5zyySSTcBpXQ8gSbuONRH7,"3jK9MiCrA42lLAdMGUZpwa","Parking Lot","Malibu","Anderson .Paak",2016-01-15,234333,48,spotify:user:prancingoctopus,2023-12-03T22:26:42Z,"escape room,hip hop,indie soul,neo soul",0.639,0.907,9,-7.85,1,0.0409,0.0128,0.328,0.704,0.696,97.019,4
3DlgDXIYtnWtJKiB8bZQMv,"7Hjbimq43OgxaBRpFXic4x,4JqpJeNOhP6bAkolNMLwFg","Photosynthesis","Bucket List Project","Saba,Jean Deaux",2016-10-27,201732,64,spotify:user:prancingoctopus,2023-12-03T22:26:49Z,"alternative r&b,chicago rap",0.777,0.662,7,-8.393,1,0.27,0.536,0.00000461,0.593,0.634,111.13,4
5v0C3nNNDMhZ3nWzzP0W4T,"5XenQ7XfcvQdfIbpLEFaKQ,34MuJG3KuMOzEHLf4OY5fv","Rough Soul (feat. April George)","Rough Soul (feat. April George)","GoldLink,April George",2017-01-13,181025,49,spotify:user:prancingoctopus,2023-12-03T22:26:57Z,"alternative r&b",0.795,0.529,4,-18.345,0,0.0605,0.0273,0.000129,0.0938,0.419,117.009,4
4U5ovGD4My7MOISvUEtYaf,"3Gm5F95VdRxW3mqCn8RPBJ,3nf2EaHj8HikLNdaiW3v73","Campfire","Campfire","Aminé,Injury Reserve",2018-04-06,135013,50,spotify:user:prancingoctopus,2023-12-03T22:27:13Z,"pop rap,portland hip hop,rap,underground hip hop,alternative hip hop,conscious hip hop,escape room,indie hip hop",0.885,0.365,6,-14.107,1,0.263,0.00112,0,0.264,0.637,100.048,4
1fpfYMT2RTc5W3Zluq5xVA,"5XenQ7XfcvQdfIbpLEFaKQ","Palm Trees","And After That, We Didn't Talk","GoldLink",2015-11-06,213333,43,spotify:user:prancingoctopus,2023-12-03T22:27:27Z,"alternative r&b",0.685,0.61,2,-9.294,1,0.487,0.235,0,0.164,0.777,127.932,4
4O9tOyMOq8Oioun2MsULH5,"1Bl6wpkWCQ4KVgnASpvzzA","RENTAL","SATURATION III","BROCKHAMPTON",2017-12-15,213658,56,spotify:user:prancingoctopus,2023-12-03T22:27:32Z,"boy band,rap",0.672,0.452,0,-7.947,1,0.0738,0.194,0,0.251,0.514,82.012,4
3ppVO2tyWRRznNmONvt7Se,"3TVXtAsR1Inumwj472S9r4,4HzKw8XcD0piJmDrrPRCYk","Summers Over Interlude","Views","Drake,Majid Jordan",2016-05-06,106333,75,spotify:user:prancingoctopus,2023-12-03T22:27:40Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap,canadian contemporary r&b",0.699,0.255,4,-8.647,0,0.0303,0.405,0.00242,0.0985,0.242,132.031,3
3GCdLUSnKSMJhs4Tj6CV3s,"2YZyLoL8N0Wb9xBt1NhZWg,7tYKF4w9nC0nq9CsPZTHyP","All The Stars (with SZA)","Black Panther The Album Music From And Inspired By","Kendrick Lamar,SZA",2018-02-09,232186,86,spotify:user:prancingoctopus,2023-12-03T22:27:48Z,"conscious hip hop,hip hop,rap,west coast rap,pop,r&b",0.698,0.633,8,-4.946,1,0.0597,0.0605,0.000194,0.0926,0.552,96.924,4
5SDbfHZpHHmqpfK39vCfHG,"3jK9MiCrA42lLAdMGUZpwa","Get 'Em Up","Venice","Anderson .Paak",2014-10-28,248659,36,spotify:user:prancingoctopus,2023-12-03T22:27:54Z,"escape room,hip hop,indie soul,neo soul",0.679,0.567,9,-7.108,0,0.0348,0.189,0.000696,0.637,0.512,140.038,4
66YXnXYGfXFA6KAYeySWpL,"6PEMFpe3PTOksdV4ZXUpbE,3jK9MiCrA42lLAdMGUZpwa,17Zu03OgBVxgLxWmRUyNOJ","Khadijah","Yes Lawd!","NxWorries,Anderson .Paak,Knxwledge",2016-10-21,122373,40,spotify:user:prancingoctopus,2023-12-03T22:28:02Z,"alternative r&b,indie soul,escape room,hip hop,neo soul,abstract beats,alternative hip hop,instrumental hip hop,wonky",0.759,0.722,1,-7.158,1,0.154,0.0669,0.00231,0.207,0.842,81.5,4
6m6R6O2BOZDCNymhJ45spI,"1U1el3k54VvEUzo3ybLPlM","Loner","Por Vida","Kali Uchis",2015-02-04,212000,63,spotify:user:prancingoctopus,2023-12-03T22:28:12Z,"colombian pop",0.722,0.675,1,-5.61,0,0.0776,0.873,0.118,0.305,0.506,120.012,4
5VdaMUzoQetwxQwtWAd022,"3Sz7ZnJQBIHsXLUSo0OQtM","Salad Days","Salad Days","Mac DeMarco",2014-04-01,145893,67,spotify:user:prancingoctopus,2023-12-03T22:28:17Z,"edmonton indie,lo-fi indie,pov: indie",0.431,0.771,5,-7.176,1,0.0375,0.0877,0.0214,0.121,0.772,201.002,4
2WcPWXOjoDKDVouyyWV8Eq,"2ICR2m4hOBPhaYiZB3rnLW","Searchin","Into","Sonder",2017-01-27,264242,65,spotify:user:prancingoctopus,2023-12-03T22:28:24Z,"experimental r&b",0.718,0.396,10,-12.539,0,0.0357,0.148,0.0000108,0.176,0.338,103.994,4
6UgxOrbHWJeqHvh0ost7Aa,"3TVXtAsR1Inumwj472S9r4,2WoVwexZuODvclzULjPQtm","Too Much","Nothing Was The Same","Drake,Sampha",2013-01-01,261853,63,spotify:user:prancingoctopus,2023-12-03T22:28:33Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap,alternative r&b,indie soul",0.681,0.569,6,-5.859,1,0.546,0.173,0,0.18,0.147,140.532,4
0bDd5b2Mh9zDcrtj8dnYqt,"360IAlyVv4PCEVjgyMZrxK","destinado a morir","Wildheart (Deluxe Version)","Miguel",2015-06-26,181440,35,spotify:user:prancingoctopus,2023-12-03T22:28:44Z,"r&b,urban contemporary",0.8,0.336,2,-8.116,1,0.0459,0.0101,0.000151,0.0807,0.104,125.994,4
7floNISpH8VF4z4459Qo18,"15UsOTVnJzReFVN1VCnxy4","Look At Me!","Look At Me!","XXXTENTACION",2017-02-20,126345,83,spotify:user:prancingoctopus,2023-12-03T22:28:54Z,"emo rap,miami hip hop",0.763,0.726,1,-6.405,1,0.282,0.259,0,0.0976,0.349,139.059,4
56x2jRVYRWsZvkFpFXLOBV,"3jK9MiCrA42lLAdMGUZpwa","Might Be","Venice","Anderson .Paak",2014-10-28,237165,52,spotify:user:prancingoctopus,2023-12-03T22:29:02Z,"escape room,hip hop,indie soul,neo soul",0.683,0.585,2,-7.599,1,0.0728,0.361,0.00000137,0.727,0.337,148.51,4
7KA4W4McWYRpgf0fWsJZWB,"4V8LLVI7PbaPR0K2TGSxFF,1U1el3k54VvEUzo3ybLPlM","See You Again (feat. Kali Uchis)","Flower Boy","Tyler, The Creator,Kali Uchis",2017-07-21,180386,91,spotify:user:prancingoctopus,2023-12-03T22:29:11Z,"hip hop,rap,colombian pop",0.558,0.559,6,-9.222,1,0.0959,0.371,0.00000749,0.109,0.62,78.558,4
0HU8CeTestQjoRF2ekaLqx,"7Hjbimq43OgxaBRpFXic4x,2TKC2gVUNBUAlFqfLUoaj0,0L2E40bnomT7iQiZvKYC0B","Stoney (feat. Phoelix & BJRKNC)","Bucket List Project","Saba,Phoelix,Bjrknc",2016-10-27,211296,45,spotify:user:prancingoctopus,2023-12-03T22:29:17Z,"alternative r&b,chicago rap,indie hip hop",0.735,0.639,6,-7.464,0,0.247,0.295,0,0.108,0.695,158.865,4
0JXXNGljqupsJaZsgSbMZV,"360IAlyVv4PCEVjgyMZrxK","Sure Thing","All I Want Is You","Miguel",2010-11-26,195373,89,spotify:user:prancingoctopus,2023-12-03T22:29:23Z,"r&b,urban contemporary",0.684,0.607,11,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81.001,4
6eL1ncVDtQHgSm3E288TS7,"68kEuyFKyqrdQQLLsmiatm","Big Fish","Big Fish Theory","Vince Staples",2017-06-23,198133,58,spotify:user:prancingoctopus,2023-12-03T22:29:30Z,"conscious hip hop,hip hop,rap,underground hip hop",0.898,0.547,3,-5.707,0,0.313,0.484,0.0000104,0.37,0.763,100.01,4
48Co4cbgmgcAGch0mZoJuJ,"3lLHpTOJ11tWiUNGYN14gt,4rljPSpCHQzUJMNOvmw1DL,3Gm5F95VdRxW3mqCn8RPBJ","Egyptian Luvr","Dear Annie","Rejjie Snow,Dana Williams,Aminé",2018-05-03,256613,54,spotify:user:prancingoctopus,2023-12-03T22:29:40Z,"indie soul,irish hip hop,la pop,pop rap,portland hip hop,rap,underground hip hop",0.834,0.591,10,-7.543,0,0.305,0.0553,0,0.074,0.9,104.944,4
6K4Co1NQyOnoFEJMkZHkln,"5pKCCKE2ajJHZ9KAiaK11H","James Joint","ANTI (Deluxe)","Rihanna",2016-01-28,72080,70,spotify:user:prancingoctopus,2023-12-03T22:29:46Z,"barbadian pop,pop,urban contemporary",0.399,0.203,4,-11.649,1,0.0298,0.66,0.000163,0.27,0.405,134.202,4
3ml3WB66sqG4kXoPBX2POA,"0WjtdWS6su0f3jrW9aqEHl","Janet","Berhana","Berhana",2016-07-21,204000,51,spotify:user:prancingoctopus,2023-12-03T22:29:57Z,"alternative r&b",0.81,0.308,0,-8.194,1,0.0818,0.354,0,0.0899,0.56,120.012,4
4UTizOdGljPIIbXtoXycAd,"5pKCCKE2ajJHZ9KAiaK11H","Pose","ANTI (Deluxe)","Rihanna",2016-01-28,144226,54,spotify:user:prancingoctopus,2023-12-03T22:30:03Z,"barbadian pop,pop,urban contemporary",0.685,0.852,1,-3.153,1,0.0846,0.181,0.00135,0.147,0.77,145.918,4
3AJwUDP919kvQ9QcozQPxg,"4gzpq5DPGxSnKTe4SA8HAU","Yellow","Parachutes","Coldplay",2000-07-10,266773,92,spotify:user:prancingoctopus,2023-12-03T22:30:12Z,"permanent wave,pop",0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,4
4Hj5yNHgu2dyrnzRQN7Gld,"3Gm5F95VdRxW3mqCn8RPBJ,2gBjLmx6zQnFGQJCAQpRgw","Yellow","Good For You","Aminé,Nelly",2017-07-28,180000,50,spotify:user:prancingoctopus,2023-12-03T22:30:20Z,"pop rap,portland hip hop,rap,underground hip hop,dance pop,gangster rap,hip hop,st louis rap,urban contemporary",0.869,0.526,0,-5.766,1,0.111,0.139,0,0.119,0.217,128.996,4
2HwqshjCe5Tuvq2s6Fx3K5,"68kEuyFKyqrdQQLLsmiatm","War Ready","Prima Donna","Vince Staples",2016-08-25,155173,35,spotify:user:prancingoctopus,2023-12-03T22:30:27Z,"conscious hip hop,hip hop,rap,underground hip hop",0.846,0.571,11,-6.557,1,0.279,0.515,0.0192,0.201,0.672,97.031,4
3BtuIIrQlkujKPuWF2B85z,"3TVXtAsR1Inumwj472S9r4,5pKCCKE2ajJHZ9KAiaK11H","Too Good","Views","Drake,Rihanna",2016-05-06,263373,77,spotify:user:prancingoctopus,2023-12-03T22:30:37Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap,barbadian pop,pop,urban contemporary",0.794,0.653,7,-7.839,1,0.104,0.0489,0.0000488,0.1,0.397,117.996,4
6wOdpwaVrRtWlVSQNMBNQU,"5XenQ7XfcvQdfIbpLEFaKQ,57vWImR43h4CaDao012Ofp","Some Girl (feat. Steve Lacy)","At What Cost","GoldLink,Steve Lacy",2017-03-24,342244,61,spotify:user:prancingoctopus,2023-12-03T22:30:47Z,"alternative r&b,afrofuturism",0.424,0.606,6,-6.062,0,0.159,0.106,0.000272,0.144,0.397,213.788,4
1mvDFqbbmgmMmU6U4dIq5m,"6l3HvQ5sa6mXTsMTB19rO5,2YZyLoL8N0Wb9xBt1NhZWg","Forbidden Fruit (feat. Kendrick Lamar)","Born Sinner (Deluxe Version)","J. Cole,Kendrick Lamar",2013-06-18,268666,68,spotify:user:prancingoctopus,2023-12-03T22:30:54Z,"conscious hip hop,hip hop,north carolina hip hop,rap,west coast rap",0.84,0.504,1,-9.354,1,0.383,0.546,0.00131,0.211,0.406,110.027,4
10SUWedx0zohs8M3OJpnA7,"7GN9PivdemQRKjDt4z5Zv8","Get Away","Ego Death","The Internet",2015-06-26,148706,56,spotify:user:prancingoctopus,2023-12-03T22:31:02Z,"alternative r&b,lgbtq+ hip hop",0.757,0.485,9,-12.309,1,0.0648,0.402,0.619,0.193,0.372,110.371,4
42LZ31jVckrDwDkC9Q0pwJ,"0CKa42Jqrc9fSFbDjePaXP","Get Away","4eva Is A Mighty Long Time","Big K.R.I.T.",2017-10-27,297614,38,spotify:user:prancingoctopus,2023-12-03T22:31:10Z,"conscious hip hop,hip hop,mississippi hip hop,southern hip hop,trap",0.622,0.713,7,-4.922,1,0.203,0.302,0,0.0929,0.146,156.006,4
