Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6U0FIYXCQ3TGrk4tFpLrEA,"1Bl6wpkWCQ4KVgnASpvzzA","SUGAR","GINGER","BROCKHAMPTON",2019-08-23,204533,72,spotify:user:prancingoctopus,2023-12-04T00:14:46Z,"boy band,rap",0.453,0.538,1,-8.212,1,0.0638,0.449,0,0.19,0.516,122.973,4
4imhdfDAfXSdwPKyU1uJZB,"1HxXNvsraqrsgfmju1yKk8","Two Good Things","You're Gonna Miss It All","Modern Baseball",2014-02-11,168885,48,spotify:user:prancingoctopus,2023-12-04T00:14:54Z,"alternative emo,emo,philly indie,pov: indie",0.627,0.619,11,-7.246,1,0.0262,0.0232,0.000025,0.185,0.251,120.04,4
643PW82aBMUa1FiWi5VQY7,"13ubrt8QOOCPljQ2FL1Kca","Babushka Boi","Babushka Boi","A$AP Rocky",2019-08-28,187105,66,spotify:user:prancingoctopus,2023-12-04T00:15:02Z,"east coast hip hop,hip hop,rap,trap",0.897,0.743,10,-5.446,0,0.222,0.304,0.0000444,0.137,0.905,134.979,4
5SecO8b3bvFNBTtrTyt91o,"1Bl6wpkWCQ4KVgnASpvzzA","HEAVEN BELONGS TO YOU","GINGER","BROCKHAMPTON",2019-08-23,89613,49,spotify:user:prancingoctopus,2023-12-04T00:15:13Z,"boy band,rap",0.68,0.634,7,-8.446,1,0.36,0.0208,0.00000202,0.479,0.693,155.911,4
5XhrgeNCTNx8Y2Zri1SZWZ,"1tpXaFf2F55E7kVJON4j4G","Shadow's Keeper","Beat the Devil's Tattoo","Black Rebel Motorcycle Club",2010-03-09,372493,15,spotify:user:prancingoctopus,2023-12-04T00:15:21Z,"garage rock,garage rock revival,modern blues rock,permanent wave",0.362,0.963,5,-3.178,0,0.0619,0.00477,0.809,0.105,0.366,96.825,4
5ExWCOYjZbMEZCIdlfH2dO,"0Y6dVaC9DZtPNH4591M42W","Song About Me","Who Really Cares","TV Girl",2016-02-25,243727,70,spotify:user:prancingoctopus,2023-12-04T00:15:32Z,"pov: indie",0.625,0.949,4,-4.714,0,0.0561,0.00456,0.00506,0.645,0.496,100.639,4
4A2UXX69MKyUEaSgh8cVA1,"0wNZvrIMNUCs24G0wFg2D6","Wave Goodnight to Me","WORRY.","Jeff Rosenstock",2016-10-14,179902,41,spotify:user:prancingoctopus,2023-12-04T00:15:40Z,"bubblegrunge,folk punk,indie punk,modern power pop",0.348,0.972,4,-4.008,1,0.0806,0.00208,0,0.352,0.648,163.69,4
7fk5VgoiuiHshDDaevEhkG,"0wNZvrIMNUCs24G0wFg2D6","Blast Damage Days","WORRY.","Jeff Rosenstock",2016-10-14,174878,36,spotify:user:prancingoctopus,2023-12-04T00:15:49Z,"bubblegrunge,folk punk,indie punk,modern power pop",0.165,0.934,7,-5.31,1,0.14,0.0637,0,0.454,0.214,184.489,3
57NlbktHxqdLbjaTxaPpwA,"1HxXNvsraqrsgfmju1yKk8","Coals","Sports","Modern Baseball",2012-11-27,131536,44,spotify:user:prancingoctopus,2023-12-04T00:15:55Z,"alternative emo,emo,philly indie,pov: indie",0.554,0.124,9,-9.997,1,0.0442,0.887,0.000333,0.112,0.31,113.933,4
7zFXmv6vqI4qOt4yGf3jYZ,"20wkVLutqVOYrc0kxFs7rA,1U1el3k54VvEUzo3ybLPlM","Get You (feat. Kali Uchis)","Freudian","Daniel Caesar,Kali Uchis",2017-08-25,278179,85,spotify:user:prancingoctopus,2023-12-04T00:16:01Z,"canadian contemporary r&b,colombian pop",0.658,0.294,4,-8.533,0,0.0321,0.422,0.000052,0.0749,0.358,74.038,4
