Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3r7p1yUo7SZIU8xPZS1UC9,"33yje3hgpNfdXpqdJQcrt9","In Love Again","Patience","Mannequin Pussy",2019-06-21,258522,40,spotify:user:prancingoctopus,2023-12-04T00:33:46Z,"bubblegrunge,indie punk,modern hardcore,modern power pop,riot grrrl",0.338,0.92,4,-3.845,1,0.0411,0.0000171,0.698,0.193,0.495,131.37,4
6TBEvIBdVzWe96X0Bai39D,"33yje3hgpNfdXpqdJQcrt9","Romantic","Romantic","Mannequin Pussy",2016-10-28,159920,55,spotify:user:prancingoctopus,2023-12-04T00:33:50Z,"bubblegrunge,indie punk,modern hardcore,modern power pop,riot grrrl",0.303,0.586,7,-7.46,1,0.0315,0.00205,0.000675,0.332,0.297,92.246,4
3DHHaUZrjhEV4jTWJYCbB7,"33yje3hgpNfdXpqdJQcrt9","Who You Are","Patience","Mannequin Pussy",2019-06-21,152401,43,spotify:user:prancingoctopus,2023-12-04T00:33:59Z,"bubblegrunge,indie punk,modern hardcore,modern power pop,riot grrrl",0.288,0.958,9,-3.638,1,0.0688,0.0000442,0.00000739,0.115,0.699,134.315,4
3XHrTm6WE2BOHafLwTT3GR,"1FWybrAwiSa0zKibdLfZZr","Eyes on Fire","Life Of A Ghost","Blue Foundation",2007-09-24,302826,69,spotify:user:prancingoctopus,2023-12-04T00:34:04Z,"dream pop",0.544,0.383,3,-10.143,0,0.0334,0.67,0.00204,0.125,0.367,145.025,4
48kxuz4mbDd6akKMgrZXS1,"33yje3hgpNfdXpqdJQcrt9","F.U.C.A.W.","Patience","Mannequin Pussy",2019-06-21,125051,32,spotify:user:prancingoctopus,2023-12-04T00:34:10Z,"bubblegrunge,indie punk,modern hardcore,modern power pop,riot grrrl",0.343,0.973,2,-4.483,1,0.062,0.00000545,0.43,0.137,0.11,97.018,4
5LfFjqx9c83BMXrJVfYT0Y,"3N8Hy6xQnQv1F1XCiyGQqA","Kick Me","Madness (Deluxe Edition)","Sleeping With Sirens",2015-03-17,151960,61,spotify:user:prancingoctopus,2023-12-04T00:34:15Z,"neon pop punk,pop emo,pop punk,screamo",0.486,0.948,9,-4.61,1,0.208,0.0397,0,0.258,0.188,110.033,4
0F2ZAKzmxoFw1s4K1ZLzFn,"4wXchxfTTggLtzkoUhO86Q","lucy","color theory","Soccer Mommy",2020-02-28,296733,35,spotify:user:prancingoctopus,2023-12-04T00:34:26Z,"art pop,bubblegrunge,indie pop,indie rock,small room",0.432,0.765,9,-4.355,1,0.0287,0.221,0.0544,0.32,0.482,100.952,4
4EerpMBzXjBK89c34fO6Lm,"33yje3hgpNfdXpqdJQcrt9","Emotional High","Romantic","Mannequin Pussy",2016-10-28,87420,43,spotify:user:prancingoctopus,2023-12-04T00:34:32Z,"bubblegrunge,indie punk,modern hardcore,modern power pop,riot grrrl",0.408,0.924,2,-5.822,1,0.0495,0.0000114,0.000657,0.229,0.683,120.791,4
6baeAT0jVAxvnLn8rIN50X,"7qbvNcfTfckhCNM8NiR8nN","Constant Headache","S/T","Joyce Manor",2013-05-14,184306,60,spotify:user:prancingoctopus,2023-12-04T00:34:41Z,"alternative emo,dreamo,emo,indie punk,lo-fi emo",0.41,0.892,11,-4.289,1,0.124,0.0467,0,0.246,0.451,99.016,4
3obggbhnOjjnytaGM1hpDR,"20JZFwl6HVl6yg8a4H3ZqK","I Constantly Thank God for Esteban","A Fever You Can't Sweat Out","Panic! At The Disco",2005-09-27,210253,53,spotify:user:prancingoctopus,2023-12-04T00:34:47Z,"modern rock,pop",0.629,0.817,7,-5.56,0,0.0696,0.139,0,0.135,0.653,167.002,4
