Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1575gcQIwMRZ9a2ioMh3aQ,"63GTn25wbdRNX3ijCHvYxD","This Must Be My Exit","Real Stories of True People Who Kind of Looked Like Monsters...","Oso Oso",2015-06-09,197000,47,spotify:user:prancingoctopus,2023-12-04T00:16:52Z,"alternative emo,bubblegrunge,emo,indie punk,midwest emo",0.463,0.28,8,-16.484,1,0.0276,0.664,0,0.102,0.641,97.79,4
2rk8hnBWF0zZDFIVoeE16O,"5k3NfhEeZHpouIGDpjKOPo","Hedgehog's Dilemma","NEON GENESIS EVANGELION (Original Series Soundtrack)","Shiro SAGISU",2019-06-21,167306,49,spotify:user:prancingoctopus,2023-12-04T00:16:59Z,"anime score,japanese soundtrack",0.554,0.119,7,-20.872,0,0.0299,0.756,0.727,0.104,0.282,80.003,4
51B1Qv4xGNsiQlXXKmPdgh,"5k3NfhEeZHpouIGDpjKOPo","EVA-01","NEON GENESIS EVANGELION (Original Series Soundtrack)","Shiro SAGISU",2019-06-21,168640,33,spotify:user:prancingoctopus,2023-12-04T00:17:08Z,"anime score,japanese soundtrack",0.104,0.417,5,-9.135,1,0.0322,0.576,0.658,0.121,0.0994,84.878,4
75noxAKSPc5wUqcyj4NILb,"5k3NfhEeZHpouIGDpjKOPo","Rei I","NEON GENESIS EVANGELION (Original Series Soundtrack)","Shiro SAGISU",2019-06-21,179826,45,spotify:user:prancingoctopus,2023-12-04T00:17:16Z,"anime score,japanese soundtrack",0.47,0.119,9,-16.318,0,0.0294,0.908,0.667,0.0969,0.0666,74.151,4
26kPTDeIh5pTcyMuD6IonN,"6s3PbveUJMvMwZHyQUAPV4","Bloom","Offering","j^p^n",2015-05-27,137406,59,spotify:user:prancingoctopus,2023-12-04T00:17:27Z,"",0.472,0.493,6,-10.607,1,0.417,0.874,0.000265,0.188,0.568,139.631,4
253Sq7utuR9vchbNWyjyE4,"4C9Tvlt8v7d8R6h98FgdUy","Bloom","Mango","bLAck pARty",2016-10-14,302000,52,spotify:user:prancingoctopus,2023-12-04T00:17:34Z,"alternative r&b,indie soul",0.75,0.407,8,-7.486,1,0.0373,0.262,0.00918,0.0942,0.839,89.98,4
67oBHPaoiXS9rifTrjaECn,"6s3PbveUJMvMwZHyQUAPV4","Loveyou","Unkind","j^p^n",2018-02-08,120000,55,spotify:user:prancingoctopus,2023-12-04T00:17:41Z,"",0.516,0.558,0,-9.653,1,0.434,0.00194,0.451,0.803,0.593,160.012,4
7hPLPHeKbwJrsuDHv4BCTA,"1HxXNvsraqrsgfmju1yKk8","Tears Over Beers","Sports","Modern Baseball",2012-11-27,168750,67,spotify:user:prancingoctopus,2023-12-04T00:17:47Z,"alternative emo,emo,philly indie,pov: indie",0.286,0.63,1,-7.051,1,0.0661,0.000834,0.000752,0.107,0.313,179.975,3
7dBt70xgF0BawJvmtgKn8f,"1HxXNvsraqrsgfmju1yKk8","Rock Bottom","You're Gonna Miss It All","Modern Baseball",2014-02-11,132810,55,spotify:user:prancingoctopus,2023-12-04T00:18:06Z,"alternative emo,emo,philly indie,pov: indie",0.386,0.917,1,-4.788,1,0.115,0.00515,0,0.0334,0.619,149.961,4
1U3RV0bgVbck7Gx957hGmA,"5k3NfhEeZHpouIGDpjKOPo","EVA-00","NEON GENESIS EVANGELION (Original Series Soundtrack)","Shiro SAGISU",2019-06-21,111066,33,spotify:user:prancingoctopus,2023-12-04T00:18:13Z,"anime score,japanese soundtrack",0.622,0.459,9,-11.077,0,0.0265,0.306,0.967,0.077,0.376,93.988,4
