Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0pMfPzdRiPAoSM9yWF4OcT,"70kkdajctXSbqSMJbQO424","Golden Hour","Golden Hour","Kacey Musgraves",2018-03-30,198453,65,spotify:user:prancingoctopus,2023-12-03T22:44:17Z,"classic texas country,contemporary country,country dawn",0.611,0.555,6,-6.372,0,0.0274,0.0952,0,0.11,0.413,88.969,4
3DASPeFJXSIycNpbROhrAC,"4UXqAaa6dQYAk18Lv7PEgX","I've Got A Dark Alley And A Bad Idea That Says You Should Shut Your Mouth (Summer Song)","From Under The Cork Tree","Fall Out Boy",2005-05-03,190520,51,spotify:user:prancingoctopus,2023-12-03T22:44:27Z,"emo,modern rock,pop,rock",0.46,0.933,0,-3.766,1,0.0516,0.000811,0,0.158,0.523,154.165,4
27rZYxE4l21wTaovX4WTnI,"7pbDxGE6nQSZVfiFdq9lOL","Television / So Far So Good","Apricot Princess","Rex Orange County",2017-04-26,262600,76,spotify:user:prancingoctopus,2023-12-03T22:44:40Z,"bedroom pop",0.403,0.505,5,-7.75,1,0.0463,0.592,0,0.121,0.32,164.902,4
0IUWe1lprVhev4JwubwNMF,"4lPl9gqgox3JDiaJ1yklKh","Fruit Salad","Whack World","Tierra Whack",2018-05-30,60000,54,spotify:user:prancingoctopus,2023-12-03T22:44:50Z,"alternative r&b",0.832,0.794,6,-5.023,1,0.0388,0.504,0.00111,0.0901,0.91,139.982,4
12HuSGHKC4aw3kveG29yGr,"6Xgp2XMz1fhVYe7i6yNAax","In Too Deep","A Love Letter To You 2","Trippie Redd",2017-10-06,223138,50,spotify:user:prancingoctopus,2023-12-03T22:45:02Z,"melodic rap,rap,trap",0.607,0.608,0,-5.679,1,0.0498,0.0949,0,0.168,0.15,143.075,4
6K4Co1NQyOnoFEJMkZHkln,"5pKCCKE2ajJHZ9KAiaK11H","James Joint","ANTI (Deluxe)","Rihanna",2016-01-28,72080,70,spotify:user:prancingoctopus,2023-12-03T22:45:08Z,"barbadian pop,pop,urban contemporary",0.399,0.203,4,-11.649,1,0.0298,0.66,0.000163,0.27,0.405,134.202,4
6DlrQcvUO7lg5vKgMZmG7F,"6U3ybJ9UHNKEdsH7ktGBZ7","Mounted Up","DiCaprio 2","JID",2018-11-26,182582,45,spotify:user:prancingoctopus,2023-12-03T22:45:19Z,"hip hop,pop rap,rap,underground hip hop",0.741,0.606,8,-7.833,1,0.253,0.0195,0.000333,0.337,0.455,108.126,5
2921nkFBi9MkDQfSD6bwiU,"4oV5EVJ0XFWsJKoOvdRPvl","Watch Me Jumpstart","Alien Lanes","Guided By Voices",1995-04-04,144133,31,spotify:user:prancingoctopus,2023-12-03T22:45:28Z,"alternative pop,alternative rock,chamber pop,dayton indie,gbvfi,indie rock,lo-fi,modern power pop,noise pop,ohio indie,power pop,tape club",0.328,0.956,4,-5.392,1,0.0642,0.444,0.000285,0.702,0.209,115.063,4
3ynsNp8cPnuCpiXROlNVCU,"58XGUNsRNu3cVOIOYk5chx","Cry Cry Cry","Freedom's Goblin","Ty Segall",2018-01-26,192506,23,spotify:user:prancingoctopus,2023-12-03T22:45:41Z,"bay area indie,garage rock,indie rock,lo-fi,neo-psychedelic,noise pop,noise rock,oc indie",0.425,0.671,5,-10.256,1,0.0532,0.528,0.0000191,0.152,0.583,115.812,4
5mBLsGeDozivo9EmIBid2H,"0JdGPxHeRGfOyZg3EHwp2g","Games","Tangerine Dream","Alex Wiley",2016-06-12,156269,40,spotify:user:prancingoctopus,2023-12-03T22:45:51Z,"chicago rap,underground hip hop",0.763,0.732,1,-6.87,1,0.22,0.197,0.000133,0.526,0.452,129.064,4
