Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1gnkotdghLOSDg4OoliVRD,"5a2EaR3hamoenG9rDuVn8j","Little Red Corvette","The Hits / The B-Sides","Prince",1993-09-14,303613,45,spotify:user:prancingoctopus,2023-12-03T21:26:53Z,"funk,funk rock,minneapolis sound,rock,synth funk",0.738,0.665,1,-14.28,1,0.102,0.255,0.000142,0.157,0.644,122.546,4
4dtP86vkhzwNXCFpCtizce,"7Ln80lUS6He07XvHI8qqHH","Secret Door","Humbug","Arctic Monkeys",2009-08-20,223066,65,spotify:user:prancingoctopus,2023-12-03T21:27:07Z,"garage rock,modern rock,permanent wave,rock,sheffield indie",0.323,0.806,7,-6.554,0,0.0769,0.0314,0.0000111,0.181,0.548,124.615,4
21Qsj3cMVCx2xF2EVVNbEu,"4F84IBURUo98rz4r61KF70","Fell In Love With a Girl","White Blood Cells","The White Stripes",2001-07-03,110093,74,spotify:user:prancingoctopus,2023-12-03T21:27:17Z,"alternative rock,blues rock,detroit rock,garage rock,modern blues rock,permanent wave,punk blues,rock",0.356,0.982,4,-1.574,0,0.112,0.713,0.00145,0.941,0.299,95.754,4
5XeFesFbtLpXzIVDNQP22n,"7Ln80lUS6He07XvHI8qqHH","I Wanna Be Yours","AM","Arctic Monkeys",2013-09-09,183956,95,spotify:user:prancingoctopus,2023-12-03T21:27:28Z,"garage rock,modern rock,permanent wave,rock,sheffield indie",0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,4
5wQnmLuC1W7ATsArWACrgW,"7FBcuc1gsnv6Y1nwFtNRCb","Welcome to the Black Parade","The Black Parade","My Chemical Romance",2006-10-23,311106,81,spotify:user:prancingoctopus,2023-12-03T21:27:56Z,"emo,modern rock,pop punk,pov: indie,rock",0.217,0.905,2,-4.103,1,0.0752,0.000289,0.00011,0.222,0.236,96.95,4
5LI7PoHEolR8plrf3I16sq,"776Uo845nYHJpNaStv1Ds4","Fire","Are You Experienced","Jimi Hendrix",1967-05-12,163800,60,spotify:user:prancingoctopus,2023-12-03T21:28:06Z,"acid rock,album rock,alternative rock,classic rock,hard rock,proto-metal,psychedelic rock,rock",0.479,0.944,9,-5.167,1,0.115,0.00206,0.0283,0.356,0.572,153.45,4
5bsnLiT00hG37qd8p2jdVl,"7Ln80lUS6He07XvHI8qqHH","Cornerstone","Humbug","Arctic Monkeys",2009-08-20,197973,71,spotify:user:prancingoctopus,2023-12-03T21:28:13Z,"garage rock,modern rock,permanent wave,rock,sheffield indie",0.287,0.721,9,-5.81,1,0.0387,0.00764,0,0.328,0.763,169.252,4
2zzLRQ78kKfPTx8FJQCdC2,"7Ln80lUS6He07XvHI8qqHH","When The Sun Goes Down","Whatever People Say I Am, That's What I'm Not","Arctic Monkeys",2006-01-29,202133,76,spotify:user:prancingoctopus,2023-12-03T21:28:27Z,"garage rock,modern rock,permanent wave,rock,sheffield indie",0.348,0.875,11,-4.758,0,0.199,0.0341,0,0.117,0.407,169.152,4
0NWPxcsf5vdjdiFUI8NgkP,"776Uo845nYHJpNaStv1Ds4","Hey Joe","Are You Experienced","Jimi Hendrix",1967-05-12,210160,72,spotify:user:prancingoctopus,2023-12-03T21:28:35Z,"acid rock,album rock,alternative rock,classic rock,hard rock,proto-metal,psychedelic rock,rock",0.346,0.768,9,-5.695,1,0.0377,0.00603,0.38,0.0244,0.532,169.492,4
2hmHlBM0kPBm17Y7nVIW9f,"7Ln80lUS6He07XvHI8qqHH","My Propeller","Humbug","Arctic Monkeys",2009-08-20,205746,64,spotify:user:prancingoctopus,2023-12-03T21:28:42Z,"garage rock,modern rock,permanent wave,rock,sheffield indie",0.415,0.657,9,-6.758,0,0.0295,0.052,0.0552,0.233,0.69,115.752,4
7j31rVgGX9Q2blT92VBEA0,"7FBcuc1gsnv6Y1nwFtNRCb","Teenagers","The Black Parade","My Chemical Romance",2006-10-23,161920,84,spotify:user:prancingoctopus,2023-12-03T21:28:51Z,"emo,modern rock,pop punk,pov: indie,rock",0.463,0.857,4,-3.063,1,0.0632,0.0506,0,0.184,0.856,111.647,4
0uukw2CgEIApv4IWAjXrBC,"7FBcuc1gsnv6Y1nwFtNRCb","Dead!","The Black Parade","My Chemical Romance",2006-10-23,195520,69,spotify:user:prancingoctopus,2023-12-03T21:28:57Z,"emo,modern rock,pop punk,pov: indie,rock",0.481,0.973,7,-1.945,1,0.0542,0.0037,0.000877,0.325,0.362,99.331,4
5FVd6KXrgO9B3JPmC8OPst,"7Ln80lUS6He07XvHI8qqHH","Do I Wanna Know?","AM","Arctic Monkeys",2013-09-09,272394,90,spotify:user:prancingoctopus,2023-12-03T21:29:03Z,"garage rock,modern rock,permanent wave,rock,sheffield indie",0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,4
