Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6WZjjf4mKurHPC5BhdGwet,"3Sz7ZnJQBIHsXLUSo0OQtM","Ode to Viceroy","2","Mac DeMarco",2012-10-16,233817,61,spotify:user:prancingoctopus,2023-12-03T22:00:12Z,"edmonton indie,lo-fi indie,pov: indie",0.515,0.633,2,-6.305,1,0.05,0.208,0.014,0.115,0.31,94.562,4
62wdQ5CInFr7cjISqrr46f,"7KGqvFukcZRbQ7YFsYrgPa","Baby","Dreamin' Wild","Donnie & Joe Emerson",1979,250533,58,spotify:user:prancingoctopus,2023-12-03T22:00:23Z,"soft rock,traditional soul",0.508,0.325,2,-11.627,1,0.037,0.96,0.00259,0.188,0.274,92.187,4
1ISckPYj9zSrjGv3oES9iw,"33EUXrFKGjpUSGacqEHhU4","Baby","The Idiot","Iggy Pop",1977-03-18,205721,31,spotify:user:prancingoctopus,2023-12-03T22:00:31Z,"alternative rock,glam rock,permanent wave,protopunk,rock",0.389,0.435,10,-9.839,1,0.0299,0.562,0.00328,0.133,0.365,117.665,4
0C13P4IghHNFPjt4zIJ8vX,"1b8kpp4DUwt1hWaxTiWQhD,7HGNYPmbDrMkylWqeFCOIQ","Baby","Gal Costa","Gal Costa,Caetano Veloso",1969-01-01,212933,57,spotify:user:prancingoctopus,2023-12-03T22:00:38Z,"bossa nova,mpb,samba,tropicalia,samba de roda",0.356,0.272,2,-13.263,1,0.0368,0.508,0.0000202,0.263,0.509,113.345,4
1e4kwCOOIv8OHBHSd3avgQ,"5H0YoDsPDi9fObFmJtTjfN,1AEcpjnSCmm53IBZQo3g9z","Baby","Mature Themes","Ariel Pink,DāM-FunK",2012-08-20,287426,55,spotify:user:prancingoctopus,2023-12-03T22:00:45Z,"art pop,chamber pop,chillwave,dream pop,experimental pop,hypnagogic pop,la indie,neo-psychedelic,new weird america,noise pop,popping,synth funk,wonky",0.621,0.252,2,-14.359,1,0.0331,0.435,0.467,0.0941,0.336,92.586,4
29UHuao7AZ79dWgHNYGh5s,"5C0gCCG8N5Dh5dZytIgzLX","Baby","Os Mutantes","Os Mutantes",1968-01-01,182186,37,spotify:user:prancingoctopus,2023-12-03T22:00:51Z,"bossa nova,mpb,psicodelia brasileira,psychedelic rock,rock gaucho,tropicalia",0.352,0.619,7,-6.522,1,0.0679,0.386,0.285,0.254,0.31,84.717,4
0wotldYXx2K5HH0CwhzYrX,"0IVcLMMbm05VIjnzPkGCyp,0Zji66LHK0QCC8AUMuyp3h,5LhTec3c7dcqBvpLRWbMcf","Baby","The Shining","J Dilla,Guilty Simpson,Madlib",2006-08-21,208320,38,spotify:user:prancingoctopus,2023-12-03T22:01:00Z,"alternative hip hop,detroit hip hop,hip hop,instrumental hip hop,abstract hip hop,psychedelic hip hop",0.478,0.812,11,-5.709,0,0.423,0.369,0,0.278,0.768,89.041,4
7H7NyZ3G075GqPx2evsfeb,"3Sz7ZnJQBIHsXLUSo0OQtM","Chamber Of Reflection","Salad Days","Mac DeMarco",2014-04-01,231723,83,spotify:user:prancingoctopus,2023-12-03T22:01:08Z,"edmonton indie,lo-fi indie,pov: indie",0.538,0.557,11,-8.678,1,0.0914,0.262,0.914,0.102,0.506,131.03,4
7uWVT3UkCAZyANvv0bdyQn,"2YZyLoL8N0Wb9xBt1NhZWg,4jCbgl5Dmt3uOh8WRQfpPs,0N41KJ4H6bkPAm2tx7VS8C,4frXpPxQQZwbCu3eTGnZEw","These Walls","To Pimp A Butterfly","Kendrick Lamar,Bilal,Anna Wise,Thundercat",2015-03-16,300973,68,spotify:user:prancingoctopus,2023-12-03T22:01:15Z,"conscious hip hop,hip hop,rap,west coast rap,neo soul,alternative r&b,afrofuturism,escape room,indie soul",0.752,0.489,1,-5.233,1,0.137,0.11,0.00000357,0.202,0.373,108.005,4
5AUc8Omo60BbqF5eExgKR5,"7x5Slu7yTE5icZjNsc3OzW","Montero","The Hustler","Willie Colón",1968-01-01,260746,18,spotify:user:prancingoctopus,2023-12-03T22:01:24Z,"salsa,tropical",0.358,0.828,0,-8.379,1,0.0775,0.64,0.00369,0.136,0.96,86.967,3
4AblNv2IZzFJnnifSzb9v5,"5H0YoDsPDi9fObFmJtTjfN","Lipstick","pom pom","Ariel Pink",2014-11-17,200293,52,spotify:user:prancingoctopus,2023-12-03T22:01:31Z,"art pop,chamber pop,chillwave,dream pop,experimental pop,hypnagogic pop,la indie,neo-psychedelic,new weird america,noise pop",0.472,0.832,3,-3.278,0,0.0339,0.00058,0.000255,0.256,0.839,134.957,4
0IpxdHYUGxYvhZTeCdppH6,"5H0YoDsPDi9fObFmJtTjfN","Round and Round","Before Today","Ariel Pink",2010-06-07,308680,48,spotify:user:prancingoctopus,2023-12-03T22:01:42Z,"art pop,chamber pop,chillwave,dream pop,experimental pop,hypnagogic pop,la indie,neo-psychedelic,new weird america,noise pop",0.665,0.589,1,-6.831,0,0.0258,0.361,0.624,0.564,0.574,110.074,4
0N3W5peJUQtI4eyR6GJT5O,"2YZyLoL8N0Wb9xBt1NhZWg","King Kunta","To Pimp A Butterfly","Kendrick Lamar",2015-03-16,234693,76,spotify:user:prancingoctopus,2023-12-03T22:01:55Z,"conscious hip hop,hip hop,rap,west coast rap",0.884,0.657,6,-4.569,0,0.0977,0.00589,0,0.154,0.489,107.059,4
3iVcZ5G6tvkXZkZKlMpIUs,"2YZyLoL8N0Wb9xBt1NhZWg","Alright","To Pimp A Butterfly","Kendrick Lamar",2015-03-16,219333,82,spotify:user:prancingoctopus,2023-12-03T22:02:06Z,"conscious hip hop,hip hop,rap,west coast rap",0.796,0.766,7,-5.974,1,0.238,0.0742,0,0.0827,0.558,110.034,4
7unx2Rvsq8D0RfOLRXclTA,"2YZyLoL8N0Wb9xBt1NhZWg","For Sale? - Interlude","To Pimp A Butterfly","Kendrick Lamar",2015-03-16,291720,59,spotify:user:prancingoctopus,2023-12-03T22:02:13Z,"conscious hip hop,hip hop,rap,west coast rap",0.301,0.686,2,-8.36,1,0.0831,0.442,0.000115,0.121,0.276,79.036,3
4oFtLSgHyZPNYDCcANhTnO,"2YZyLoL8N0Wb9xBt1NhZWg,4jCbgl5Dmt3uOh8WRQfpPs,0N41KJ4H6bkPAm2tx7VS8C,7hJcb9fa4alzcOq3EaNPoG","Institutionalized","To Pimp A Butterfly","Kendrick Lamar,Bilal,Anna Wise,Snoop Dogg",2015-03-16,271773,63,spotify:user:prancingoctopus,2023-12-03T22:02:23Z,"conscious hip hop,hip hop,rap,west coast rap,neo soul,alternative r&b,g funk,gangster rap,pop rap",0.539,0.731,3,-5.085,0,0.453,0.112,0.00000119,0.129,0.568,81.114,4
