track,artist,album,times_played
¿Viva La Gloria? (Little Girl),Green Day,21st Century Breakdown,1
...And the Gods Made Love,Jimi Hendrix,Electric Ladyland,3
...To Be Loved,Papa Roach,The Paramour Sessions,1
"'39 - Live At Earl’s Court, London / June 1977",Queen,A Night At The Opera,1
"""From Now On We Are Enemies""",Fall Out Boy,Believers Never Die - Greatest Hits,33
"""The Take Over, The Breaks Over""",Fall Out Boy,Believers Never Die - Greatest Hits,19
(Coffee's For Closers),Fall Out Boy,Folie à Deux,6
"(I Can't Get No) Satisfaction - Live At The Beacon Theatre, New York / 2006",The Rolling Stones,Shine A Light,1
(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,Out Of Our Heads,1
(You Will) Set The World On Fire,David Bowie,The Next Day Extra,1
#88,Lo-Fang,#88,1
1/1 - Remastered 2004,Brian Eno,Ambient 1: Music For Airports,1
10 A.M. Automatic,The Black Keys,Rubber Factory,4
"10,000 Summers",No Devotion,"10,000 Summers",1
12 Through 15,Mayday Parade,Monsters in the Closet,1
12:51,The Strokes,Room On Fire,2
19-2000,Gorillaz,The Singles Collection 2001-2011,5
19-2000,Gorillaz,Gorillaz,5
19-2000 - Soulchild Remix,Gorillaz,The Singles Collection 2001-2011,3
1901,Phoenix,Wolfgang Amadeus Phoenix,1
1979,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness,1
1979 - Remastered 2012,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness,1
1983...(A Merman I Should Turn to Be),Jimi Hendrix,Electric Ladyland,28
1999,Prince,1999,33
1999 - Edit,Prince,The Very Best of Prince,20
19th Nervous Breakdown - (Original Single Mono Version),The Rolling Stones,Singles 1965-1967,1
2 Hearts,Kylie Minogue,Boombox,1
20 Dollar Nose Bleed,Fall Out Boy,Folie à Deux,11
2013,Arctic Monkeys,Do I Wanna Know?,16
2024,Cage The Elephant,Thank You Happy Birthday,1
21 Guns,Green Day,21st Century Breakdown,12
27,Fall Out Boy,Folie à Deux,3
3 Gymnopédies: 1. Lent et grave (Orch. Debussy),Erik Satie,The Yellow Guide To Classical Music,5
"3 Romanzen, Op. 28: No. 2 in F-Sharp Major",Robert Schumann,Serene Journeys Through Classical Music,1
3:16AM,Jhené Aiko,3:16am,1
5 Women,Prince,The Vault - Old Friends 4 Sale,1
5/4,Gorillaz,Gorillaz,3
505,Arctic Monkeys,Favourite Worst Nightmare,18
51st Anniversary,Jimi Hendrix,Are You Experienced,1
53rd & 3rd - 2001 Remaster,Ramones,The Sire Years 1976 - 1981,1
68 State,Gorillaz,D-Sides,1
6am,Fitz and The Tantrums,More Than Just a Dream,1
7,Arctic Monkeys,When The Sun Goes Down,8
7 Minutes In Heaven (Atavan Halen),Fall Out Boy,From Under The Cork Tree,14
7 Shades Of Black,The Smashing Pumpkins,Zeitgeist,1
9 Crimes,Damien Rice,9,1
99 Revolutions,Green Day,UNO . . . DOS . . . TRÉ!,1
A Beginner's Guide to Destroying the Moon,Foster The People,Supermodel,3
A Case of You,Prince,A Tribute to Joni Mitchell,1
A Certain Romance,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",26
A Familiar Taste,Trent Reznor and Atticus Ross,The Social Network,1
A Good Omen,Howard Shore,The Hobbit: An Unexpected Journey (Original Motion Picture Soundtrack) [Special Edition],1
A Good Sadness,MGMT,MGMT,1
A Home for You,Kaitlin Hopkins,Bat Boy: The Musical (Original Off-Broadway Cast Recording),1
A Home for You (Reprise),Deven May,Bat Boy: The Musical (Original Off-Broadway Cast Recording),1
A Horse with No Name,America,America,3
A Kind Of Magic - Remastered 2011,Queen,A Kind of Magic,1
A Little Bit of Good,M. O'Haughey,Chicago: A Musical Vaudeville (Original Broadway Cast Recording),2
"A Little Less Sixteen Candles, A Little More ""Touch Me""",Fall Out Boy,Believers Never Die - Greatest Hits,59
"A Little Less Sixteen Candles, A Little More ""Touch Me""",Fall Out Boy,From Under The Cork Tree,59
A Little Opus,Little Comets,Life Is Elsewhere (Spotify Exclusive Preview),1
A Little Priest,Len Cariou,Sweeney Todd: The Demon Barber of Fleet Street (Original Broadway Cast Recording),46
A Little Priest,Johnny Depp,"Sweeney Todd, The Demon Barber of Fleet Street, The Motion Picture Soundtrack",46
A Love Like War,All Time Low,A Love Like War,23
A Lovely Place to Be,Patrick O'Hearn,So Flows The Current,1
