track,artist,album,times_played
"A Most Peculiar Man - Live at Memorial Auditorium, Burlington, VT - October 1968",Simon & Garfunkel,The Essential Simon & Garfunkel,1
A Phone Call / The Wrong Kiss / Peter's Birthday,Danny Elfman,Spider-Man 2 Original Motion Picture Score,1
A Thing Called Love,Johnny Cash,16 Biggest Hits Volume II,1
À tout à l'heure,Bibio,À tout à l'heure,1
A Very Respectable Hobbit - Exclusive Bonus Track,Howard Shore,The Hobbit: An Unexpected Journey (Original Motion Picture Soundtrack) [Special Edition],1
A-Punk,Vampire Weekend,Vampire Weekend,51
Aberdeen,Cage The Elephant,Thank You Happy Birthday,3
About A Girl - Remastered,Nirvana,Bleach: Deluxe Edition,5
Absolute Beginners - 2002 Remaster,David Bowie,Absolute Beginners,3
Absolute Beginners - Single Version Remastered,David Bowie,Nothing Has Changed,1
Accident,Emily Wolfe,Night & Day,1
Achilles Last Stand,Led Zeppelin,The Complete Studio Albums,4
Achilles Last Stand - 1990 Remaster,Led Zeppelin,Presence,1
Achilles Last Stand - 2007 Remastered Version,Led Zeppelin,Mothership,1
Adam's Song,blink-182,Enema Of The State,2
Adeste Fideles - Remastered 1999,Frank Sinatra,A Jolly Christmas From Frank Sinatra,2
Adore,Prince,"Sign ""O"" the Times",2
Adore You,Miley Cyrus,Bangerz (Deluxe Version),1
Afire Love,Ed Sheeran,x,8
After Midnight,Danny Elfman,Chicago - Music From The Miramax Motion Picture,2
After Midnight,blink-182,Neighborhoods,2
Afterlife,Arcade Fire,Reflektor,1
Aftermath,Tricky,Maxinquaye,1
"Ah, Miss",Sarah Rice,Sweeney Todd: The Demon Barber of Fleet Street (Original Broadway Cast Recording),1
Ain't No Rest for the Wicked,Cage The Elephant,Cage The Elephant,33
Ain't No Sunshine,Bill Withers,Super Hits,17
Ain't No Telling,Jimi Hendrix,Axis: Bold As Love,1
Airplanes,Local Natives,Gorilla Manor,2
Airplanes (feat. Hayley Williams of Paramore),B.o.B,B.o.B Presents: The Adventures of Bobby Ray,1
Airwaves,Ray LaMontagne,Airwaves,1
Aladdin Sane - 2013 Remastered Version,David Bowie,Aladdin Sane,2
Ali in the Jungle,The Hours,"It's Not How You Start, It's How You Finish",1
Alien Days,MGMT,MGMT,15
All About the Monster,Boris Karloff,An Evening With Boris Karloff and His Friends,1
All Alone,Gorillaz,Demon Days,2
All Along the Watchtower,Jimi Hendrix,Experience Hendrix: The Best Of Jimi Hendrix,58
All Along the Watchtower,Jimi Hendrix,Electric Ladyland,58
All Along the Watchtower,Bob Dylan,John Wesley Harding,58
All Along The Watchtower,Jimi Hendrix,Music From The Motion Picture Watchmen,31
"All Along the Watchtower - Live at the Isle of Wight, UK",Jimi Hendrix,Blue Wild Angel: Jimi Hendrix At The Isle Of Wight,3
All Along The Watchtower - previously unreleased alternate mix,Jimi Hendrix,Voodoo Child: The Jimi Hendrix Collection,6
All Apologies - Live,Nirvana,MTV Unplugged In New York,3
All by Myself,Green Day,Dookie,1
"All Dead, All Dead - Remastered 2011",Queen,Queen 40 Limited Edition Collector's Box Set Vol. 2,1
All I Care About,Jerry Orbach,Chicago: A Musical Vaudeville (Original Broadway Cast Recording),3
All I Need (feat. Beth Hirsch),Air,Moon Safari,1
All I Want for Christmas Is You - 2005,My Chemical Romance,Gift Wrapped: 20 Songs That Keep On Giving,2
All My Love - 1990 Remaster,Led Zeppelin,In Through the out Door,2
All My Own Stunts,Arctic Monkeys,Suck It and See,48
All of Me,John Legend,Love In The Future (Expanded Edition),2
All of Me,Billie Holiday,Billie Holiday Love Songs,2
All Star,Smash Mouth,Astro Lounge,1
All That Jazz,Chita Rivera,Chicago: A Musical Vaudeville (Original Broadway Cast Recording),12
All That's Known - Original Broadway Cast Recording/2006,Jonathan Groff,Spring Awakening,1
All The Old Showstoppers,The New Pornographers,Challengers,1
All The Right Moves,OneRepublic,Waking Up,1
All The Small Things,blink-182,Enema Of The State,33
All the Way,Frank Sinatra,Sinatra: Best Of The Best,1
All the Young Dudes - 1997 Remaster,David Bowie,The Best of David Bowie 1969 - 1974,3
All This And Heaven Too,Florence + The Machine,Ceremonials,1
All Through the Night,Emancipator,Safe In the Steep Cliffs,1
All We Are,OneRepublic,Dreaming Out Loud,1
All We Ever Wanted Was Everything,MGMT,Late Night Tales: MGMT,2
All You Ever Wanted,The Black Keys,Attack & Release,4
Allegiance to Denethor,Howard Shore,The Lord of the Rings - The Return of the King - The Complete Recordings,1
Alone (feat. MGK),Sleeping With Sirens,Feel,1
Alone In My Home,Jack White,Lazaretto,1
Alone Together,Fall Out Boy,Save Rock And Roll,13
Alone Together - Jump Smokers Remix,Fall Out Boy,Alone Together,1
Alone Together - Krewella Remix,Fall Out Boy,Alone Together,2
Alpha Dog,Fall Out Boy,Believers Never Die - Greatest Hits,17
Alphabet St.,Prince,The Very Best of Prince,18
Always,blink-182,blink-182 (explicit version),1
Always Like This,Bombay Bicycle Club,I Had The Blues But I Shook Them Loose,1
Always Something,Cage The Elephant,Thank You Happy Birthday,2
Am I Wrong,Nico & Vinz,Am I Wrong,1
AMBULANCE,My Chemical Romance,Number Two,1
America,Razorlight,Razorlight,2
America,Simon & Garfunkel,The Essential Simon & Garfunkel,2
America's Suitehearts,Fall Out Boy,Believers Never Die - Greatest Hits,62
American,Lana Del Rey,Born To Die - The Paradise Edition,1
American Eulogy: Mass Hysteria / Modern World,Green Day,21st Century Breakdown,1
American Horror Story Theme (Long Version),AHS Project,American Horror Story,2
American Hustle,Soundtrack and Theme Master,"Classic Movie Theme Collection – Soundtracks to Our Lives, Vol. 3",1
American Idiot,Green Day,American Idiot,5
American Made,Fall Out Boy,PAX AM Days,3
Amsterdam - 2002 Remastered Version,David Bowie,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars [30th Anniversary Edition],1
An Occurrence at Owl Creek Bridge (Ambrose Bierce),Nelson Olmsted,Classic Horror Stories,1
An Orphan Of Fortune,MGMT,MGMT,3
An Unexpected Party - Extended Version,Howard Shore,The Hobbit: An Unexpected Journey (Original Motion Picture Soundtrack) [Special Edition],1
Anarchy in the U.K.,Sex Pistols,"Never Mind The Bollocks, Here's The Sex Pistols",2
Angel,Jimi Hendrix,Experience Hendrix: The Best Of Jimi Hendrix,26
Angel Blue,Green Day,¡UNO!,1
Angels,The xx,Coexist,15
Angels,The xx,Angels,15
Angie - Remastered 2009,The Rolling Stones,Goats Head Soup,1
Animal Nitrate,The London Suede,The Best Of,1
Animals - Extended,Martin Garrix,Animals,1
Another Dead Cow,Kathy Brier,Bat Boy: The Musical (Original Off-Broadway Cast Recording),1
Another Is Waiting,The Avett Brothers,Magpie And The Dandelion,1
Another Love,Tom Odell,Long Way Down,1
Another One Bites The Dust - Digital Remaster,Queen,The A-Z of Queen Vol. 1,1
Another One Bites The Dust - Remastered 2011,Queen,The Game,23
Another One Bites The Dust - Remix,Queen,The Platinum Collection,2
Another Way to Die,Jack White,Another Way to Die,2
Anthems For A Seventeen Year-Old Girl,Broken Social Scene,Scott Pilgrim vs. the World (Original Motion Picture Soundtrack),2
Anything Could Happen,Ellie Goulding,Anything Could Happen,1
Apocalypse Please,Muse,Absolution,21
Apologize,OneRepublic,Dreaming Out Loud,2
Apple Orange,Alpha,Come From Heaven,1
Apple Pie Bed,Lawrence Arabia,Chant Darling,2
Arabella,Arctic Monkeys,AM,62
Arabian Nights,Bruce Adler,Aladdin,2
Arcadia,The Kite String Tangle,Vessel,1
Archer & Solomon Hike,James Newton Howard,Blood Diamond,1
Are You Experienced?,Jimi Hendrix,Voodoo Child: The Jimi Hendrix Collection,2
Are You Experienced?,Jimi Hendrix,Are You Experienced,2
Are You In?,Incubus,Morning View,1
Are You Jimmy Ray?,Jimmy Ray,Jimmy Ray,1
Are You What You Want to Be?,Foster The People,Supermodel,2
Are You With Me Now?,Cate Le Bon,Mug Museum,1
Argonauts,The Little Ones,The Dawn Sang Along,2
Around My Head,Cage The Elephant,Thank You Happy Birthday,2
Around the World,Daft Punk,Homework,1
Aroused,Tom Vek,Leisure Seizure,1
Arrival in Nara,alt-J,This Is All Yours,1
Arrival to Earth,Steve Jablonsky,Transformers: The Score,1
Arsonist's Lullabye,Hozier,From Eden EP,1
Art Of Keeping Up Disappearances,Fall Out Boy,PAX AM Days,3
"As Long As You're Mine - From ""Wicked"" Original Broadway Cast Recording/2003",Stephen Schwartz,Wicked,2
As The World Falls Down,David Bowie,Labyrinth,1
Ash/Black Veil,Apparat,Ash/Black Veil,13
Ash/Black Veil,Apparat,The Devil's Walk,13
Ashes to Ashes,David Bowie,Scary Monsters,5
Ashes to Ashes - 2002 Remaster,David Bowie,Platinum Collection,1
Ashes to Ashes - Live,David Bowie,A Reality Tour,1
Ask Yourself,Foster The People,Supermodel,2
Asleep - 2008 Remaster,The Smiths,The Sound of the Smiths,6
Asphalt Funk,Tea Leaf Green,Tea Leaf Green,1
Astro,The White Stripes,The White Stripes,1
Atemlos durch die Nacht,Helene Fischer,Atemlos durch die Nacht,1
Atlantis To Interzone,Klaxons,Myths Of The Near Future,2
Atomica,David Bowie,The Next Day Extra,1
Attack,Thirty Seconds To Mars,A Beautiful Lie,1
Auntie Jackie Poom Poom Delicious - Remastered 2009,Beastie Boys,Hello Nasty,1
Autobahn 66,Primal Scream,Dirty Hits - Limited Edition,3
Autumn Leaves - Deluxe Edition,Ed Sheeran,+,8
Autumn Rhapsody,Louise-Andrée Baril,Atmosphere: Fall,1
Awake,Tycho,Awake,1
Away Frm U,Oberhofer,Time Capsules II,1
Awkward - EP Version,San Cisco,San Cisco,1
Axe or Sword?,Howard Shore,The Hobbit: An Unexpected Journey (Original Motion Picture Soundtrack) [Special Edition],1
Babe I'm Gonna Leave You - 1990 Remaster,Led Zeppelin,Led Zeppelin,44
Babel,Mumford & Sons,Babel,1
Baby Blue,Evergreen,Fonzy (Bande Originale du Film),22
Baby Blue,Evergreen,Baby Blue,22
Baby Driver,Simon & Garfunkel,The Essential Simon & Garfunkel,20
Baby Eyes,Green Day,¡DOS!,1
Baby I'm a Star,Prince,Purple Rain,20
Baby I'm Yours,Arctic Monkeys,Leave Before The Lights Come On,10
Baby Missiles,The War On Drugs,Slave Ambient,1
"Baby, You Ain't Looking Right",PowerSolo,It's Raceday... and Your Pu..y Is Gut!!!,57
"Baby, You Ain't Looking Right (Instrumental Version)",AHS Project,Music from A.H.S. TV Series,8
"Baby, You Ain't Looking Right (Instrumental Version) [From ""American Horror Story""]",AHS Project,American Horror Story,3
Back Against the Wall,Cage The Elephant,Cage The Elephant,5
Back Stabbin' Betty,Cage The Elephant,Cage The Elephant,4
Backyard Animals,Max Elto,Taped Rai EP,1
Bad Blood,Bastille,All This Bad Blood,2
Bad Dreams,Phantogram,Voices,3
Bad Girls,M.I.A.,Bad Girls,3
Bad Habit,The Kooks,Listen,2
Bad Kids,Black Lips,Good Bad Not Evil,1
Bad Kingdom,Moderat,II,1
Bad Woman,Arctic Monkeys,Teddy Picker,10
Balaclava,Arctic Monkeys,Favourite Worst Nightmare,50
Balloons,Foals,Antidotes,1
Bamako City,Malian Musicians,Mali Music,1
"Band Introductions - Live At The Beacon Theatre, New York / 2006",The Rolling Stones,Shine A Light,1
Bang Bang - My Baby Shot Me Down,Nancy Sinatra,Kill Bill Vol. 1 Original Soundtrack,1
Bang On,The Breeders,Mountain Battles,2
Bang Pop,Free Energy,Stuck On Nothing,1
Bang The Doldrums,Fall Out Boy,Infinity On High,1
Bangarang (feat. Sirah),Skrillex,Bangarang EP,1
Bankrobber,The Clash,Hits Back,1
Barracuda,Fergie,Shrek The Third,1
Basic Space,The xx,xx,1
Basket Case,Green Day,Dookie,7
Bass Battle,Justin Meldal-Johnsen,Scott Pilgrim Vs. The World,1
Bassically,Tei Shi,Bassically,2
Batdance,Prince,Batman,2
Bathroom Sound - Track - No Vocal,Led Zeppelin,Led Zeppelin III,1
"Be Our Guest - From ""Beauty And The Beast"" Soundtrack",Angela Lansbury,Disney's Greatest Volume 2,1
Beast Of Burden - Remastered 1994,The Rolling Stones,Some Girls,1
Beat It,Fall Out Boy,Believers Never Die - Greatest Hits,13
Beat on the Brat - 2001 Remastered Version,Ramones,Ramones,2
Beat The Devil's Tattoo,Black Rebel Motorcycle Club,Beat the Devil's Tattoo,25
Beautiful Day,Joshua Radin,Wax Wings,1
Beautiful Girl,William Fitzsimmons,Beautiful Girl,1
"Becoming one of ""The People"" Becoming one with Neytiri",James Horner,AVATAR Music From The Motion Picture Music Composed and Conducted by James Horner,1
"Beethoven: Symphony No. 6 in F Major, Op. 68 ""Pastoral"": IV. Gewitter. Sturm. Allegro -",Ludwig van Beethoven,"Beethoven: Symphony No. 6 ""Pastoral""",1
Behind Blue Eyes,The Who,Thirty Years Of Maximum R&B,1
Bennie And The Jets - Remastered 2014,Elton John,Goodbye Yellow Brick Road,1
Berlin,RY X,Berlin EP,1
Best Friend,Foster The People,Supermodel,6
Better,Regina Spektor,Begin to Hope,1
Bewitched - 2008 Remastered,Frank Sinatra,Nothing But The Best,1
Bicycle Race - 1991 Bonus Remix,Queen,Jazz,9
Bicycle Race - Remastered 2011,Queen,Queen 40 Limited Edition Collector's Box Set Vol. 2,5
Bicycle Race - Remastered 2011,Queen,Jazz,5
Bigger Boys and Stolen Sweethearts,Arctic Monkeys,I Bet You Look Good On The Dance Floor,12
Bijou - 2011 Remaster,Queen,Forever,1
Bilgewater,Brown Bird,Salt For Salt,1
Billie Jean,Michael Jackson,Thriller 25 Super Deluxe Edition,1
Birth In Reverse,St. Vincent,St. Vincent,11
Birthday in Los Angeles,The Maine,Forever Halloween (Deluxe Version),1
Biting Down,Lorde,Pure Heroine,3
Biting Down,Lorde,The Love Club EP,3
Bitter Sweet Symphony,The Verve,Urban Hymns,1
Black Country Woman - 1993 Remaster,Led Zeppelin,Physical Graffiti,24
Black Dog - 1990 Remaster,Led Zeppelin,Led Zeppelin IV,25
Black Dog - 2007 Remastered Version Single/,Led Zeppelin,Mothership,31
Black Dog - Basic Track with Guitar Overdubs,Led Zeppelin,Led Zeppelin IV,2
"Black Dog - Live: O2 Arena, London - December 10, 2007",Led Zeppelin,Celebration Day,4
Black Dog - Remaster,Led Zeppelin,Led Zeppelin IV,4
Black Door,The Black Keys,Magic Potion,4
Black Hole Sun,Soundgarden,Superunknown,1
Black Mountain Side - 1993 Remaster,Led Zeppelin,Led Zeppelin,4
Black Mud,The Black Keys,Brothers,4
Black Out Days,Phantogram,Voices,2
Black Sheep,Metric,Scott Pilgrim vs. the World (Original Motion Picture Soundtrack),3
Black Treacle,Arctic Monkeys,Suck It and See,45
Black Treacle,Arctic Monkeys,Black Treacle,45
Black Water,Apparat,The Devil's Walk,1
Black Widow Kicks Ass,John Debney,Original Motion Picture Score Iron Man 2,1
Blackmail,The Runaways,The Best Of The Runaways,1
Blank Generation,Richard Hell,Blank Generation,1
Bleecker Street,Simon & Garfunkel,The Essential Simon & Garfunkel,1
Bleeding Heart,Jimi Hendrix,Valleys Of Neptune,12
Bleeding Heart,Jimi Hendrix,Blues,12
Bleeding Heart,Jimi Hendrix,"People, Hell & Angels",12
Bless This Morning Year,Helios,Eingya,1
Blew My Mind,Dresses,Sun Shy,1
Blind Faith,Chase & Status,No More Idols,1
Blind Willie McTell - Studio Outtake - 1983,Bob Dylan,The Bootleg Series Volumes 1-3 (Rare And Unreleased) 1961-1991,1
Blitzkrieg Bop,Ramones,It's Alive,1
Blitzkrieg Bop - 2001 Remastered Version,Ramones,Ramones,3
Blood - End Credits,My Chemical Romance,The Black Parade Is Dead!,26
Blood - Hidden Track,My Chemical Romance,The Black Parade,46
Blood Bank,Bon Iver,Blood Bank,1
Blood Gets Thin,Pete And The Pirates,One Thousand Pictures,1
Blood In The Water,Original Cast Recording,Legally Blonde,2
Blood Like Lemonade,Morcheeba,Blood Like Lemonade,1
Blood Theme Redux,Daniel Licht,Dexter - Season 2/3 (Original Score From The Showtime Original Series),2
"Bloodflood, Pt. II",alt-J,This Is All Yours,1
Bloodlust,KillSonik,UKF Dubstep 2012,1
Bloodstream,Ed Sheeran,x,11
Blue Jean - 1999 Remaster,David Bowie,Best of Bowie,2
Blue Jeans,Lana Del Rey,Born To Die - The Paradise Edition,1
Blue Meanies,Opossom,Electric Hawaii,1
Blue Moon - 1999 Remastered,Frank Sinatra,Sinatra's Swingin' Session!!! And More,4
Blue Orchid,The White Stripes,Get Behind Me Satan,9
Bobby in Phoenix (feat. Bobby Womack),Gorillaz,The Fall,1
Body Movin',Beastie Boys,Hello Nasty,4
Body Movin' - Fatboy Slim Remix/Remastered 2009,Beastie Boys,Hello Nasty,5
Body Movin' - Kut Masta Kurt Remix/Remastered 2009,Beastie Boys,Hello Nasty,1
Body Movin' - Remastered 2009,Beastie Boys,Hello Nasty,1
Body of Work,The Mynabirds,GENERALS,1
Bohemian Dances,The Dø,Both Ways Open Jaws,14
Bohemian Rhapsody - Live,Queen,Queen Rock Montreal,2
Bohemian Rhapsody - Remastered 2011,Queen,A Night At The Opera,25
Bohemian Rhapsody - Remastered 2011,Queen,Queen 40 Limited Edition Collector's Box Set,25
Bold as Love,Jimi Hendrix,Experience Hendrix: The Best Of Jimi Hendrix,32
"Bold As Love (Olympic Studios, London, UK, October 5, 1967)",Jimi Hendrix,The Jimi Hendrix Experience (Box Set),3
Bomb.Com,Astro Safari USA,Future Cover Songs,1
Bonzo's Montreux,Led Zeppelin,The Complete Studio Albums,1
Boogie with Stu - 1993 Remaster,Led Zeppelin,Physical Graffiti,2
Bookends Theme,Simon & Garfunkel,The Essential Simon & Garfunkel,1
Boom Boom Pow,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES),11
Bootylicious,Destiny's Child,Survivor,1
Born To Die,Lana Del Rey,Born To Die - The Paradise Edition,10
Born Under a Bad Sign,Jimi Hendrix,Blues,6
Boss Of Me,David Bowie,The Next Day Extra,4
Boss Of Me,David Bowie,The Next Day,4
Bottom of the River,Delta Rae,Bottom of the River,1
Boulevard Of Broken Dreams,Green Day,Ultimate GRAMMY Collection: Contemporary Rock,1
"Boulevard of Broken Dreams (feat. John Gallagher Jr., Rebecca Naomi Jones, Stark Sands, The American Idiot Broadway Company)",Green Day,American Idiot - The Original Broadway Cast Recording,2
Bows,How To Succeed Orchestra,How To Succeed In Business Without Really Trying,1
Boy,Emma Louise,vs Head vs Heart,1
Boy Division,My Chemical Romance,Number One,4
Braid,Gem Club,In Roses,1
Brain,BANKS,Brain,2
"Brandenburg Concerto No. 1 in F Major, BWV 1046: III. Allegro",Johann Sebastian Bach,"Bach, J.S.: Brandenburg Concertos",1
"Brandenburg Concerto No. 3 in G Major, BWV 1048: II. Allegro",Johann Sebastian Bach,"Bach, J.S.: Brandenburg Concertos",1
"Brandenburg Concerto No. 4 in G Major, BWV 1049: 2. Andante",Johann Sebastian Bach,Bach Adagios,1
"Brandenburg Concerto No.3 in G, BWV 1048: 3. Allegro",Johann Sebastian Bach,111 Years of Deutsche Grammophon - The Collectors' Edition 2,1
Brass Monkey,Beastie Boys,Licensed To Ill,3
Break the Walls,Fitz and The Tantrums,More Than Just a Dream,1
Breakfast Can Wait,Prince,Breakfast Can Wait,1
Breaking Down,Florence + The Machine,Ceremonials,2
Breaking Glass - 1999 Remaster,David Bowie,Low,2
Breakthru - Remastered 2011,Queen,The Miracle,1
Breath Of Life,Florence + The Machine,Breath Of Life,1
Breed,Nirvana,Nevermind,1
Breezeblocks,alt-J,An Awesome Wave,7
Brianstorm,Arctic Monkeys,Favourite Worst Nightmare,70
Brick By Brick,Arctic Monkeys,Suck It and See,43
Bridge over Troubled Water,Simon & Garfunkel,The Essential Simon & Garfunkel,2
Bridge over Troubled Water,Simon & Garfunkel,Greatest Hits,2
Bright Whites,Kishi Bashi,151a,1
Brill Bruisers,The New Pornographers,Brill Bruisers,1
Bring It on Home - 1993 Remaster,Led Zeppelin,Led Zeppelin II,6
Broken,Jake Bugg,Jake Bugg,2
Broken,Gorillaz,Plastic Beach,2
Bron-Y-Aur Stomp - 1990 Remaster,Led Zeppelin,Led Zeppelin III,5
Bron-Y-Aur Stomp - Remaster,Led Zeppelin,Led Zeppelin III,3
Bron-Yr-Aur - 1993 Remaster,Led Zeppelin,Physical Graffiti,3
"Brown Sugar - Live At The Beacon Theatre, New York / 2006",The Rolling Stones,Shine A Light,1
Brown Sugar - Remastered 2009,The Rolling Stones,Sticky Fingers,1
Brutal Love,Green Day,¡TRÉ!,1
Bryn,Vampire Weekend,Vampire Weekend,7
Bubble Pop Electric,Gwen Stefani,Love Angel Music Baby,1
Bubblegum Bitch,MARINA,Electra Heart,1
Bubbly,Colbie Caillat,Coco,1
"Bucket of Blood (From ""American Horror Story"")",AHS Project,American Horror Story,1
Buena,Morphine,Cure for Pain,1
"Build God, Then We'll Talk",Panic! At The Disco,A Fever You Can't Sweat Out,27
Build Me up Buttercup (Re-Recorded),The Foundations,60s Greatest Moments,1
Bullet,Franz Ferdinand,"Right Thoughts, Right Words, Right Action (Deluxe Edition)",1
Bullet With Butterfly Wings - Remastered 2012,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness,3
Bulletproof Heart,My Chemical Romance,Danger Days: The True Lives of the Fabulous Killjoys,13
Bulls On Parade,Rage Against The Machine,Evil Empire,1
Burn,Ellie Goulding,Halcyon Days,1
Burning Bridges,OneRepublic,Native,1
Bury Our Friends,Sleater-Kinney,Bury Our Friends,1
"Buster Rides Again - Live at Tonic, New York City, NY/1999","Medeski, Martin & Wood",Tonic,1
Busy Doin' Nothin',Ace Wilder,Busy Doin' Nothin',1
But It's Better If You Do,Panic! At The Disco,A Fever You Can't Sweat Out,5
Butcher's Hook,Arthur Beatrice,Carter EP,1
Butterfly Culture,Benjamin Francis Leftwich,Last Smoke Before the Snowstorm,1
By the Sea,Johnny Depp,"Sweeney Todd, The Demon Barber of Fleet Street, The Motion Picture Soundtrack",13
By the Way,Red Hot Chili Peppers,By the Way,2
By Your Hand,Los Campesinos!,Hello Sadness,2
By Your Side,Beachwood Sparks,Scott Pilgrim vs. the World (Original Motion Picture Soundtrack),3
"Bye Bye Birdie - From the Columbia Pictures Production ""Bye Bye Birdie""",Ann-Margret,Let Me Entertain You,1
Cabaret: Cabaret,John Kander,Cabaret (Original Broadway Cast Recording),12
Cabaret: Dont' Tell Mama,John Kander,Cabaret (Original Broadway Cast Recording),15
Cabaret: Entr'acte,John Kander,Cabaret (Original Broadway Cast Recording),1
Cabaret: Finale,John Kander,Cabaret (Original Broadway Cast Recording),23
Cabaret: Good Time Charlie (Demo),John Kander,Cabaret (Original Broadway Cast Recording),3
Cabaret: If You Could See Her (The Gorilla Song),John Kander,Cabaret (Original Broadway Cast Recording),49
Cabaret: Introductory Remarks: Berlin Songs (Demo),John Kander,Cabaret (Original Broadway Cast Recording),3
Cabaret: Introductory Remarks: Good Time Charlie (Demo),John Kander,Cabaret (Original Broadway Cast Recording),1
Cabaret: It Couldn't Please Me More (A Pineapple),John Kander,Cabaret (Original Broadway Cast Recording),2
Cabaret: It'll All Blow Over (Demo),John Kander,Cabaret (Original Broadway Cast Recording),4
Cabaret: Meeskite,John Kander,Cabaret (Original Broadway Cast Recording),17
Cabaret: Perfectly Marvelous,John Kander,Cabaret (Original Broadway Cast Recording),38
Cabaret: So What?,John Kander,Cabaret (Original Broadway Cast Recording),13
Cabaret: Telephone Song,John Kander,Cabaret (Original Broadway Cast Recording),3
