track,artist,album,times_played
20 Years,The Civil Wars,Barton Hollow,1
2000 Light Years Away,Green Day,Kerplunk!,1
2013,Arctic Monkeys,Do I Wanna Know?,23
21 Guns,Green Day,21st Century Breakdown,1
240 Years Before Your Time,The Black Keys,The Big Come Up,1
27,Fall Out Boy,Folie à Deux,5
2AM,Bear Hands,2AM,1
3.14 Apple Pi,Bo Burnham,Bo Fo Sho,6
41 Mosquitoes Flying In Formation,Tame Impala,Tame Impala,1
4th and Roebling,The Districts,A Flourish and a Spoil,7
4th Dimensional Transition,MGMT,Oracular Spectacular,1
50/50,The Strokes,Comedown Machine,1
505,Arctic Monkeys,Favourite Worst Nightmare,8
51st Anniversary,Jimi Hendrix,Are You Experienced,3
68 State,Gorillaz,D-Sides,1
7,Arctic Monkeys,When The Sun Goes Down,11
7 Minutes In Heaven (Atavan Halen),Fall Out Boy,From Under The Cork Tree,5
80's Comedown Machine,The Strokes,Comedown Machine,1
A Case of You,Joni Mitchell,Blue,2
A Certain Romance,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",13
A Day In The Life - Remastered 2009,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,13
A Detailed and Poetic Physical Threat to the Person Who Intentionally Vandalized My 1994 Dodge Intrepid Behind Kate's Apartment,Pet Symmetry,Two Songs About Cars. Two Songs with Long Titles.,3
A Horse with No Name,America,America,6
A Jack With One Eye,Texas Is The Reason,Do You Know Who You Are?: The Complete Collection,1
"A Little Less Sixteen Candles, A Little More ""Touch Me""",Fall Out Boy,From Under The Cork Tree,33
"A Little Less Sixteen Candles, A Little More ""Touch Me""",Fall Out Boy,Believers Never Die - Greatest Hits,33
A Little Priest,Johnny Depp,"Sweeney Todd, The Demon Barber of Fleet Street, The Motion Picture Soundtrack",1
A Love Ballad (live),Bo Burnham,Bo Burnham,6
a prayer/how do we fix africa?,Bo Burnham,Words Words Words,5
A Rock 'n' Roll Fantasy,The Kinks,Come Dancing with the Kinks (The Best of the Kinks 1977-1986),1
A Sky Full of Stars,Coldplay,Ghost Stories,1
A Thousand Miles,Vanessa Carlton,Best Of,1
A-Punk,Vampire Weekend,Vampire Weekend,17
A.M. 180,Grandaddy,Under the Western Freeway,1
ABC,The Jackson 5,Anthology: Jackson 5,1
About A Girl - 1992/Live at Reading,Nirvana,Live at Reading,4
About A Girl - Live,Nirvana,MTV Unplugged In New York,3
About A Girl - Remastered,Nirvana,Bleach: Deluxe Edition,8
Absolutely,Ra Ra Riot,Absolutely,1
Accordion,Madvillain,Madvillainy,4
Across The Universe - Remastered 2009,The Beatles,Let It Be,22
"Adagio For TRON - From ""TRON: Legacy""/Score",Daft Punk,TRON: Legacy,1
Adagio for TRON - Remixed by Teddybears,Daft Punk,TRON: Legacy Reconfigured,2
Adam's Song,blink-182,Enema Of The State,2
Addict With A Pen,Twenty One Pilots,Twenty One Pilots,1
Adventure of a Lifetime,Coldplay,A Head Full of Dreams,4
Advisory Committee,Mirah,Advisory Committee,37
Advisory Committee (Emily Kingan),Mirah,Joyride: Remixes,1
Advisory Committee (Shok),Mirah,Joyride: Remixes,1
Advisory Committee-3,Mirah,Joyride: Remixes,1
Aerodynamic,Daft Punk,Discovery,1
"Aerodynamic Beats / Gabrielle , Forget About the World",Daft Punk,Alive 2007,2
Africa,TOTO,Toto IV,3
After The Dance - Vocal,Marvin Gaye,The Complete Collection,2
After Tonight,Talk In Tongues,Alone With A Friend,2
After You Left,Mirah,Advisory Committee,7
Agua Verde,Strawberry Girls,French Ghetto,1
Ain't Gonna Bump No More (With No Big Fat Woman),Joe Tex,Skinny Legs And All,1
Ain't It A Shame - Demo,Nirvana,Sliver - The Best Of The Box,1
Ain't No Mountain High Enough,Marvin Gaye,United,32
Ain't No Mountain High Enough - Mono Version,Marvin Gaye,Anthology,26
Ain't No Mountain High Enough - Stereo Version,Marvin Gaye,The Very Best Of Marvin Gaye,1
Ain't No Rest for the Wicked,Cage The Elephant,Cage The Elephant,4
Ain't No Sunshine,Bill Withers,Just As I Am,5
Ain't Nothing Like The Real Thing,Marvin Gaye,You're All I Need,39
Ain't She Sweet,The Beatles,British Invasion Gold,2
Ain't That Peculiar - Single Version,Marvin Gaye,Moods Of Marvin Gaye,1
Air,Waxahatchee,Air,1
Aladdin Sane - 2013 Remaster,David Bowie,Aladdin Sane,1
Alexander Hamilton,Leslie Odom Jr.,Hamilton,1
Alien Days,MGMT,MGMT,10
Alien's Landing,Emily's Army,Swim,4
All Alone,Gorillaz,Demon Days,1
All Along the Watchtower,Jimi Hendrix,Electric Ladyland,17
All Along the Watchtower,Bob Dylan,John Wesley Harding,17
All Along the Watchtower,Jimi Hendrix,Experience Hendrix: The Best Of Jimi Hendrix,17
All Apologies,Nirvana,In Utero,5
All Apologies - 1992/Live at Reading,Nirvana,Live at Reading,48
All Apologies - Live,Nirvana,MTV Unplugged In New York,4
All Apologies - Original Steve Albini 1993 Mix,Nirvana,In Utero,62
"All Dead, All Dead - Remastered 2011",Queen,News Of The World,18
All For You,Sister Hazel,...Somewhere More Familiar,1
All I Ever Wanted,Computer Magic,Extra Stuff EP,1
All I Really Want,The Bots,Pink Palms,2
All I Want,Kodaline,In A Perfect World,1
All I Want for Christmas Is You - 2005,My Chemical Romance,Gift Wrapped: 20 Songs That Keep On Giving,7
All In Your Rows,The Maccabees,Colour It In,5
All My Days,Alexi Murdoch,Time Without Consequence,1
All My Own Stunts,Arctic Monkeys,Suck It and See,55
All Night Long,Rupert Holmes,Soft Rock Classics,1
All Star,Smash Mouth,Astro Lounge,32
All the Pretty Girls,KALEO,All the Pretty Girls,2
All The Rage Back Home,Interpol,El Pintor,2
All The Small Things,blink-182,Enema Of The State,5
All The Time,The Strokes,Comedown Machine,11
All The Time,Bahamas,Bahamas is Afie,11
All The Way Around,Marvin Gaye,I Want You,1
All These Things That I've Done,The Killers,Hot Fuss,5
All Those Friendly People - Radio Edit,Funeral Suits,All Those Friendly People,6
All You Ever Wanted,The Black Keys,Attack & Release,1
All You Need Is Love - Remastered 2009,The Beatles,Magical Mystery Tour,2
All Your Light (Times Like These),Portugal. The Man,In the Mountain in the Cloud,2
All Yours,Widowspeak,All Yours,1
Alone At A Drive In Movie,James Getzoff,Grease,3
Alone Together,Fall Out Boy,Save Rock And Roll,4
Alone Together - Jump Smokers Remix,Fall Out Boy,Alone Together,3
Alone Together - Krewella Remix,Fall Out Boy,Alone Together,1
Alpha Dog,Fall Out Boy,Believers Never Die - Greatest Hits,2
Alphabet Boy,Melanie Martinez,Cry Baby,8
Always All The Time,Talk In Tongues,Alone With A Friend,3
Always Alright,Alabama Shakes,Always Alright,7
Always Fade,Talk In Tongues,Alone With A Friend,26
Always Forever,Cults,Static,4
Always Where I Need To Be,The Kooks,Konk,8
America's Suitehearts,Fall Out Boy,Believers Never Die - Greatest Hits,40
America's Suitehearts,Fall Out Boy,Folie à Deux,40
American Beauty/American Psycho,Fall Out Boy,American Beauty/American Psycho,8
American Haikus,Jack Kerouac,Blues and Haikus,3
American Hearts,Piebald,"Plea for Peace / Take Action, Vol. 2",1
American Made,Fall Out Boy,PAX AM Days,1
American Money,BØRNS,Dopamine,2
"American Woman - 7"" Single Version",The Guess Who,Platinum & Gold Collection,17
Amsterdam,Coldplay,A Rush of Blood to the Head,1
Ancient Ways,Interpol,El Pintor,1
And I Love Her,Kurt Cobain,And I Love Her,3
And I Love Her,Kurt Cobain,Montage Of Heck: The Home Recordings,3
"And Now Little Green Bag... - From ""Reservoir Dogs"" Soundtrack",Steven Wright,Reservoir Dogs,7
Androgynous,The Replacements,Let It Be,3
Andy The Frog,Bo Burnham,what.,2
Aneurysm,Nirvana,With The Lights Out - Box Set,1
Aneurysm - 1992/Live at Reading,Nirvana,Live at Reading,1
Angel,Jimi Hendrix,Experience Hendrix: The Best Of Jimi Hendrix,1
Anger,Marvin Gaye,The Very Best Of Marvin Gaye,1
Another Love - Live from Spotify (SXSW),Tom Odell,Spotify Sessions - Long Way Down,1
Another One Bites The Dust - Remastered 2011,Queen,The Game,21
Another Way to Die,Jack White,Another Way to Die,1
Apeman - Stereo,The Kinks,"Lola Versus Powerman and the Money-Go-Round, Pt. 1",1
Apocalypse Dreams,Tame Impala,Lonerism,8
Apologize (Acoustic Version),Kacey Musgraves,Apologize / See You Again (Acoustic) [Deluxe Single],1
Apple Pie Bed,Lawrence Arabia,Chant Darling,1
Apples in the Trees,Mirah,Joyride: Remixes,6
Apples in the Trees,Mirah,Advisory Committee,6
Apples In The Trees,Mirah,Advisory Committee,31
Apples In The Trees (Pash),Mirah,Joyride: Remixes,1
Apples in the Trees-6,Mirah,Joyride: Remixes,1
Arabella,Arctic Monkeys,AM,48
Arcadia,Apparat,Walls,1
Archipelago,Mirah,"You Think It's Like This, But Really It's Like This",3
Archipelago,Mirah,You Think It's Like This But Really It's Like This,3
Are We the Waiting / St. Jimmy,Green Day,American Idiot,1
Are You Experienced?,Jimi Hendrix,Are You Experienced,9
Are You Gonna Be My Girl,Jet,Get Born,1
Are You Ready For Love - '79 Version Radio Edit,Elton John,Remixed,1
"Around the World / Harder, Better, Faster, Stronger",Daft Punk,Alive 2007,1
Arrival in Nara,alt-J,This Is All Yours,1
Arrows,The Creepy Crawlies,Get Buried!,1
Art Deco,Lana Del Rey,Honeymoon,1
Art For Art's Sake - Single Edit,10cc,20th Century Masters: The Millennium Collection: Best Of 10CC,1
ART IS DEAD,Bo Burnham,Words Words Words,6
Art Is Hard,Cursive,The Ugly Organ,1
Art Of Keeping Up Disappearances,Fall Out Boy,PAX AM Days,2
Asleep - 2008 Remaster,The Smiths,The Sound of the Smiths,5
Aspen Forest,Gorillaz,The Fall,2
At Night in Dreams,White Denim,Corsicana Lemonade,3
At Your Funeral,Saves The Day,Stay What You Are,1
Atlantis To Interzone,Klaxons,Myths Of The Near Future,9
Atlas - From “The Hunger Games: Catching Fire” Soundtrack,Coldplay,Atlas,1
Aurora Heights,Sid Le Rock,Mount Hope,1
Australia,The Shins,Wincing The Night Away,3
Autumn Sweater,Yo La Tengo,I Can Hear The Heart Beating As One,5
Babe I'm Gonna Leave You - 1990 Remaster,Led Zeppelin,Led Zeppelin,9
Baby Don't Cha Worry,Marvin Gaye,You're All I Need,1
Baby Don't You Do It - Stereo Version,Marvin Gaye,The Complete Collection,2
Baby I'm Yours,Arctic Monkeys,Leave Before The Lights Come On,8
Baby Love,The Supremes,Where Did Our Love Go,1
"Baby, You Ain't Looking Right",PowerSolo,It's Raceday... and Your Pu..y Is Gut!!!,6
"Baby, You're A Rich Man - Remastered 2009",The Beatles,Magical Mystery Tour,21
Back In Black,AC/DC,Back In Black,1
Back of Your Neck,Howler,America Give Up,1
Back Then,Gunnar Bjerk,Back Then,7
Back To Black,Amy Winehouse,Back To Black,9
Bad Day,Daniel Powter,Daniel Powter,13
Bad Girls,M.I.A.,Matangi,15
Bad Girls,Tennis,Ritual In Repeat,15
Bad Girls,Tennis,Ritual in Repeat,15
Bad Habit,The Kooks,Listen,3
Bad Law,Sondre Lerche,Please,1
Bad Moon Rising - Remastered 1985,Creedence Clearwater Revival,Chronicle: 20 Greatest Hits,1
Bad Woman,Arctic Monkeys,Teddy Picker,5
Badhead - 2012 Remaster,Blur,Parklife,1
Balaclava,Arctic Monkeys,Favourite Worst Nightmare,15
Ban All the Music,Nothing But Thieves,Nothing But Thieves,1
Band On The Run - 2010 Remaster,Wings,Band On The Run,8
Bang - 2012 Remaster,Blur,Leisure,1
Bang Bang You're Dead,Dirty Pretty Things,Waterloo To Anywhere,1
Bang The Doldrums,Fall Out Boy,Infinity On High,5
Basket Case,Green Day,Dookie,28
Bassically,Tei Shi,Bassically,1
Be Above It,Tame Impala,Lonerism,2
Be Above It - Erol Alkan Rework,Tame Impala,Be Above It,1
Be Good (RAC Remix),Tokyo Police Club,Smith,1
Be Here to Love Me,Townes Van Zandt,Our Mother the Mountain,7
Be My Baby,The Ronettes,Be My Baby: The Very Best of The Ronettes,1
Beat 0033,Snakadaktal,Sleep In The Water,1
Beat It,Fall Out Boy,Believers Never Die - Greatest Hits,3
Beat It - Studio Version Featuring John Mayer,Fall Out Boy,Live In Phoenix,1
Beat Of My Drum,POWERS,Legendary,20
Beating Off In A Minor,Bo Burnham,what.,5
Beautiful,Snoop Dogg,The Best Of Snoop Dogg,3
Beautiful,Christina Aguilera,Stripped,3
Beautiful Goodbye,Maroon 5,Overexposed,1
Beautiful Soul,Jesse McCartney,Beautiful Soul,2
Beauty School Dropout,Frankie Avalon,Grease,16
Because - Remastered 2009,The Beatles,Abbey Road,18
Because I Love You,The Cave Dwellers,Run Around,3
Becoming the Bull,Atreyu,Lead Sails Paper Anchor,1
Been A Son,Nirvana,Lithium,2
Been A Son - Early Demo,Kurt Cobain,Been A Son,1
Been so Long,WIN WIN,Been so Long,1
Beetlebum - 2012 Remaster,Blur,Blur,9
Beetlebum - Live,Blur,Parklive,1
Before You Start Your Day,Twenty One Pilots,Twenty One Pilots,1
Behind Curtains - Buddha Remastered 2001,The Five Stairsteps,The First Family of Soul: The Best of The Five Stairsteps,1
Behind the Sea,Panic! At The Disco,Pretty. Odd.,24
Behind the Sea - Alternate Version,Panic! At The Disco,Live in Chicago,2
Being For The Benefit Of Mr. Kite! - Remastered 2009,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,16
Believe,The Bravery,The Sun And The Moon,6
Believe,Mumford & Sons,Wilder Mind,6
Belly Button Window,Jimi Hendrix,First Rays Of The New Rising Sun,1
Bennie And The Jets,Elton John,Elton John's Greatest Hits,21
Bennie And The Jets - Remastered 2014,Elton John,Goodbye Yellow Brick Road,1
Best Day Of My Life,American Authors,Best Day Of My Life,1
Best Friend,Foster The People,Supermodel,13
Best Friend,We Cut Corners,Best Friend,13
Best Friend,Foster The People,Best Friend,13
Best Of Friends,Palma Violets,Best Of Friends/Last of the Summer Wine,1
Better Days,Edward Sharpe & The Magnetic Zeros,Edward Sharpe & The Magnetic Zeros (Deluxe Edition),1
Between Cans,Hinds,Barn,1
Beverly Hills,Weezer,Make Believe,4
Beware the Dog,The Griswolds,Be Impressive,1
Bicycle Race,Queen,Jazz,1
Big Cheese - Remastered,Nirvana,Bleach: Deluxe Edition,5
Big Jet Plane,Angus & Julia Stone,Down The Way,1
Bigger Boys and Stolen Sweethearts,Arctic Monkeys,I Bet You Look Good On The Dance Floor,6
Billions of Eyes,Lady Lamb,Billions of Eyes,3
Bimini Bay,Tennis,Cape Dory,1
binary reality,Bo Burnham,Words Words Words,3
Bitch Better Have My Money,Rihanna,Bitch Better Have My Money,1
Bittersweet Tragedy,Melanie Martinez,Dollhouse,20
Black & Blue,Miike Snow,Miike Snow,4
Black & Gold - Marcussen Album Version,Sam Sparro,Sam Sparro,4
Black Country Woman - 1993 Remaster,Led Zeppelin,Physical Graffiti,24
Black Dog - Remaster,Led Zeppelin,Led Zeppelin IV,1
Black Door,The Black Keys,Magic Potion,1
Black Hole Sun,Soundgarden,Superunknown,1
Black Math,The White Stripes,Elephant,1
Black Mud,The Black Keys,Brothers,2
Black Tears,Tyler Bates,Guardians of the Galaxy,12
Black Treacle,Arctic Monkeys,Black Treacle,20
Black Treacle,Arctic Monkeys,Suck It and See,20
Blackbird - Remastered 2009,The Beatles,The Beatles,20
Blackstar,David Bowie,Blackstar,2
Blast Off!,Rivers Cuomo,Alone- The Home Recordings Of Rivers Cuomo,8
Bleeding Heart,Jimi Hendrix,Valleys Of Neptune,2
Bleeding Heart,Jimi Hendrix,"People, Hell & Angels",2
Blew - 1992/Live at Reading,Nirvana,Live at Reading,2
Blew - Remastered,Nirvana,Bleach: Deluxe Edition,1
Blindfold,Charlie Cunningham,Blindfold / Heights,1
Blister in the Sun - 2002 Remastered Version,Violent Femmes,Violent Femmes,15
"Bloodflood, Pt. II",alt-J,This Is All Yours,1
Blooming Flowers and the Full Moon (Hua Hao Yue Yuan),周璇,Famous Chinese Musicians: Zhou Xuan (Zhong Hua Ge Tan Min Ren Bai Ji Zhen Cang Ban: Zhou Xuan),5
Blue Moon,Sha Na Na,Grease,1
Blue Orchid,The White Stripes,Get Behind Me Satan,15
Blue Thunder,Galaxie 500,On Fire,1
Bluebird Wine,Emmylou Harris,The 70's Studio Album Collection,3
Bo Fo Sho (live),Bo Burnham,Bo Burnham,6
Bo' Fo' Sho',Bo Burnham,Bo Fo Sho,4
Body Below,Mirah,Advisory Committee,7
Body Language,Queen,Greatest Hits,1
Bohemian Rhapsody - Remastered 2011,Queen,A Night At The Opera,20
"Bohemiath - From ""Reservoir Dogs"" Soundtrack",Steven Wright,Reservoir Dogs,8
Bold as Love,Jimi Hendrix,Experience Hendrix: The Best Of Jimi Hendrix,3
"Bold Soul Sister, Bold Soul Brother - USDEA0400901",The Black On White Affair,Wheedle's Groove - Seattle's Finest in Funk & Soul 1965-75,21
Bonus Track,Bo Burnham,Bo Burnham,4
Boot Scootin' Boogie,Brooks & Dunn,#1s ... and then some,3
Border Song,Elton John,Elton John,1
Born To Hand Jive,Sha Na Na,Grease,1
Boulder to Birmingham - 2003 Remaster,The Hollies,50 at Fifty,1
Boys,Sky Ferreira,"Night Time, My Time",1
Brass Monkey,Beastie Boys,Licensed To Ill,1
Breaking the Rules,AC/DC,For Those About to Rock (We Salute You),1
Breathe,The Prodigy,The Fat of the Land - Expanded Edition,1
Breathe Life,Jack Garratt,Breathe Life,3
Breed,Nirvana,Nevermind,6
Breed - 1992/Live at Reading,Nirvana,Live at Reading,4
Breezeblocks,alt-J,An Awesome Wave,10
Brianstorm,Arctic Monkeys,Favourite Worst Nightmare,12
Brick By Brick,Arctic Monkeys,Suck It and See,16
Bring It on Home - Remaster,Led Zeppelin,Led Zeppelin II,18
Bring It On Home / Bring It On Back,Led Zeppelin,How The West Was Won,1
Broken,Gorillaz,Plastic Beach,7
Bros,Wolf Alice,Bros - Single,1
Brother,Mac DeMarco,Salad Days,25
Buddy Holly,Weezer,Weezer,1
Buffalo Seven,Swayzak,Dirty Dancing,1
"Build God, Then We'll Talk",Panic! At The Disco,A Fever You Can't Sweat Out,6
Build Me Up Buttercup,The Foundations,Jukebox Legends,23
Build Me Up Buttercup,The Foundations,Build Me Up Buttercup (The Complete Pye Collection),23
Build Me up Buttercup (Rerecorded),The Foundations,The Wonderful World of the 60's - 100 Hit Songs,5
Bulletproof - The Voice Performance,Melanie Martinez,Bulletproof,12
"Bullwinkle, Pt. II",The Centurians,Surfers' Pajama Party,7
Burn Down The Mission,Elton John,Tumbleweed Connection,1
Burn the Witch,Radiohead,Burn the Witch,1
Burnin' Up,Jonas Brothers,A Little Bit Longer,4
Burning Airlines Give You So Much More - 2004 Digital Remaster,Brian Eno,Taking Tiger Mountain (By Strategy),23
Burnout,Green Day,Dookie,1
Bury It,CHVRCHES,Every Open Eye,1
Bus Stop,The Hollies,The Air That I Breathe - The Very Best of the Hollies,1
Bus Stop - 2003 Remaster,The Hollies,50 at Fifty,17
Busy Earnin',Jungle,Jungle,2
But It's Better If You Do,Panic! At The Disco,A Fever You Can't Sweat Out,22
Buttons,The Weeks,Buttons,2
Buttons to Push Buttons,Modest Mouse,"White Lies, Yellow Teeth / Buttons to Push the Buttons",1
Bye Bye Baby,temposhark,Bye Bye Baby,1
Bye Bye Bye,Further Seems Forever,Punk Goes Pop,3
C & C,The Frights,The Frights,18
Cabaret (feat. Drake),Justin Timberlake,The 20/20 Experience - 2 of 2,2
Cabaret: If You Could See Her (The Gorilla Song),John Kander,Cabaret (Original Broadway Cast Recording),2
Cabaret: Perfectly Marvelous,John Kander,Cabaret (Original Broadway Cast Recording),2
Caffeine Cold,Fall Out Boy,PAX AM Days,2
Cake,Melanie Martinez,Cry Baby,6
California,Joni Mitchell,Blue,1
California and the Slipping of the Sun,Gorillaz,The Fall,1
California Kids,Weezer,Weezer (White Album),1
California Soul,Marvin Gaye,Easy,1
Call For No One Else,Talk In Tongues,Alone With A Friend,3
Calm Before the Storm,Fall Out Boy,Take This to Your Grave,1
Camisado,Panic! At The Disco,A Fever You Can't Sweat Out,3
Can I Get A Witness - Album Version / Stereo,Marvin Gaye,The Complete Collection,2
Can You Get To That,Funkadelic,Maggot Brain,1
Can You See Me,Jimi Hendrix,Are You Experienced,3
Can't Buy Me Love - Remastered 2015,The Beatles,1,1
Can't Feel My Face,The Weeknd,Beauty Behind The Madness,20
Can't Feel My Face,The Weeknd,Can’t Feel My Face,20
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",4
Cancer,My Chemical Romance,The Black Parade,3
Cannon,The White Stripes,The White Stripes,1
Cape Dory,Tennis,Cape Dory,1
Car Underwater,Armor For Sleep,What To Do When You Are Dead,1
Caramel - Live,Blur,Parklive,1
Caravan,Rush,Clockwork Angels,2
Cardiac Arrest,Bad Suns,Cardiac Arrest - Single,1
Carissa,Sun Kil Moon,Benji,2
Carol Brown,Flight of the Conchords,I Told You I Was Freaky,15
Carousel,Melanie Martinez,Cry Baby,40
Carousel,Melanie Martinez,Dollhouse,40
Carousel - Bleep Bloop Remix,Melanie Martinez,Carousel,15
Carousel - Bobby Green Remix,Melanie Martinez,Carousel,17
Carousel - Eric Sharp Radio Mix,Melanie Martinez,Carousel,13
Carousel - SNBRN Remix,Melanie Martinez,Carousel,12
Carpe Diem,Green Day,¡UNO!,1
Carried Away,Passion Pit,Gossamer,8
Carry On,fun.,Some Nights,1
Carry You Home,Zara Larsson,Uncover,1
Carter & Cash,Tor Miller,Carter & Cash,4
Casual Affair,Panic! At The Disco,"Too Weird to Live, Too Rare to Die!",2
Catamaran,Bear Vs. Shark,Terrorhawk,7
Catamaran,Allah-Las,Allah-Las,7
Catapult,Arctic Monkeys,Cornerstone,7
Catch,The Cure,"Kiss Me, Kiss Me, Kiss Me",5
Catch Hell Blues,The White Stripes,Icky Thump,1
Caterpillar Crawl,The Lively Ones,Surf Rider,1
Catfish Blues,Jimi Hendrix,Blues,1
Cecilia,Simon & Garfunkel,Bridge Over Troubled Water,1
Cecilia - Single Mix,Simon & Garfunkel,Greatest Hits,33
Cecilia And The Satellite,Andrew McMahon in the Wilderness,Andrew McMahon In The Wilderness,1
Celeste,Ezra Vine,Celeste EP,1
Celluloid Heroes,The Kinks,Everybody's in Show-Biz,1
Centuries,Fall Out Boy,Centuries,29
Centuries,Fall Out Boy,American Beauty/American Psycho,29
Chained,Marvin Gaye,What's Going On - 40th Anniversary,1
"Champagne For My Real Friends, Real Pain For My Sham Friends",Fall Out Boy,From Under The Cork Tree,2
Chandrodhayam - Version Revival,T. M. Soundararajan,Chandrodhayam (Original Motion Picture Soundtrack),13
Changes,Langhorne Slim,The Spirit Moves,1
Changes - 1999 Remastered Version,David Bowie,Hunky Dory,19
"Changes - Live At Filmore East, New York/1970/1997 Digital Remaster",Jimi Hendrix,Band Of Gypsys,1
Channel 5: The Musical - Studio,Bo Burnham,what.,5
Chariot - Stripped Version,Gavin DeGraw,Chariot - Stripped,1
Charlotte's Web,The Statler Brothers,Gold,1
Chase,Giorgio Moroder,Midnight Express,12
Chase The Devil,Max Romeo,The Max Romeo Catalogue Chapter 10 Verse 145-160,5
Chasin' Honey,Wild Party,Phantom Pop,1
Chateau Lobby #4 (in C for Two Virgins),Father John Misty,"I Love You, Honeybear",7
Cheap Talk,Death From Above 1979,The Physical World,3
Cheating (Bonus Track),The Animals,Animalisms,24
Chelsea Dagger,The Fratellis,Costello Music,1
Chemical World - 2012 Remaster,Blur,Modern Life Is Rubbish,1
Cherry Bomb,The Runaways,The Runaways,20
Cherry Wine - Live,Hozier,Hozier,1
Chicago,Sufjan Stevens,Illinois,1
Chicago Is So Two Years Ago,Fall Out Boy,Take This to Your Grave,2
China Girl - 2002 Remaster,David Bowie,China Girl,2
Chun Li Flying Bird Kick,Arctic Monkeys,I Bet You Look Good On The Dance Floor,7
Church on Sunday,Green Day,Warning,3
Cigarette Daydreams,Cage The Elephant,Melophobia,14
Cigarette Smoker Fiona,Arctic Monkeys,Who The F*** Are Arctic Monkeys?,5
Citizen Erased,Muse,Origin of Symmetry,3
Class Historian,BRONCHO,Just Enough Hip To Be Woman,1
Clint Eastwood,Gorillaz,Gorillaz,1
Closing Time,Semisonic,20th Century Masters: The Millennium Collection: Best Of Semisonic,1
Cloud of Unknowing (feat. Bobby Womack and Sinfonia ViVA),Gorillaz,Plastic Beach,5
Clover Over Dover - 2012 Remaster,Blur,Parklife,1
Coconut,Harry Nilsson,Personal Best: The Harry Nilsson Anthology,4
Coffee & TV,Blur,13,14
Coffee & TV - Live,Blur,Parklive,1
Cold Cold Water,Mirah,Advisory Committee,10
Cold Cold Water,Mirah,Joyride: Remixes,10
Cold Cold Water,Mirah,Cold Cold Water,10
Cold Cold Water (Electrosexual & Abberline),Mirah,Joyride: Remixes,2
Coleen,The Heavy,Great Vengeance and Furious Fire,1
Collar Full,Panic! At The Disco,"Too Weird to Live, Too Rare to Die!",2
Colors,Halsey,BADLANDS,1
Come Alive,WE ARE TWIN,Xtra Love,4
Come and Get Your Love (Rerecorded Version),Redbone,The Best Of Redbone,22
Come As You Are,Nirvana,Nevermind,57
Come As You Are - 1992/Live at Reading,Nirvana,Live at Reading,3
Come As You Are - Live,Nirvana,MTV Unplugged In New York,3
Come Back To Me,Urban Cone,Polaroid Memories,1
Come Get It Bae,Pharrell Williams,G I R L,2
Come Get To This,Marvin Gaye,The Very Best Of Marvin Gaye,1
Come Get to This (Live),Marvin Gaye,Live In Montreux 1980,1
Come On Eileen,Dexys Midnight Runners,Too Rye Ay,8
"Come On, Come On",Smash Mouth,All Star Smash Hits,1
