track,artist,album,times_played
¡Viva La Gloria!,Green Day,21st Century Breakdown,1
'39 - Remastered 2011,Queen,A Night At The Opera,1
'Cause I'm A Man,Tame Impala,Currents,1
"""From Now On We Are Enemies""",Fall Out Boy,Believers Never Die - Greatest Hits,5
"""The Take Over, The Breaks Over""",Fall Out Boy,Believers Never Die - Greatest Hits,3
(Ain't That) Just Like Me - 1997 Remaster,The Hollies,50 at Fifty,1
(And She Said) Take Me Now,Justin Timberlake,Justified,1
(Another Song) All Over Again,Justin Timberlake,FutureSex/LoveSounds Deluxe Edition,1
(Coffee's For Closers),Fall Out Boy,Folie à Deux,27
(Exactly Where We're From),Mirah,C'mon Miracle,1
(Girl We Got A) Good Thing,Weezer,Weezer (White Album),1
"(I Can't Get No) Satisfaction - Live At The Beacon Theatre, New York / 2006",The Rolling Stones,Shine A Light,1
(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,Out Of Our Heads,2
(I Don't Want To Go To) Chelsea,Elvis Costello & The Attractions,This Year's Model,5
(I'm Afraid) The Masquerade Is Over,Marvin Gaye,Then & Now,1
(Oh No) What You Got,Justin Timberlake,Justified,2
(Sittin' On) the Dock of the Bay,Otis Redding,"Atlantic 60th: Soul, Sweat And Strut",1
(Wish I Could Fly Like) Superman,The Kinks,Low Budget,1
#deep,Bo Burnham,what.,13
"10,000 Emerald Pools",BØRNS,Dopamine,1
100 Knives,Mirah,You Think It's Like This But Really It's Like This,4
100 Knives,Mirah,"You Think It's Like This, But Really It's Like This",4
100 Lovers,Tennis,Small Sound,1
1000 Arms,Lymbyc Systym,Carved By Glaciers,1
19-2000,Gorillaz,Gorillaz,9
1901,Phoenix,Wolfgang Amadeus Phoenix,13
1969,The Stooges,The Stooges,6
1979 - Remastered 2012,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness,12
1983...(A Merman I Should Turn to Be),Jimi Hendrix,Electric Ladyland,13
1998 (Delicious),Peace,EP Delicious,5
20 Dollar Nose Bleed,Fall Out Boy,Folie à Deux,14
