track,artist,album,times_played
7 Minutes In Heaven (Atavan Halen),Fall Out Boy,From Under The Cork Tree,14
7 rings,Ariana Grande,"thank u, next",4
8701,JID,The Never Story,1
9/10,Jeff Rosenstock,POST-,8
A Burning Hill,Mitski,Puberty 2,24
A Case of You,Joni Mitchell,Blue,1
A Certain Romance,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",2
A Coisa Mais Linda Que Existe,Gal Costa,Gal Costa,1
A Contest Of Aeons,仲野順也,FINAL FANTASY X Original Soundtrack,1
A Fan's Mail (Tron Song Suite II),Thundercat,Drunk,2
A Fleeting Dream,Nobuo Uematsu,FINAL FANTASY X Original Soundtrack,1
A House Is Not a Home,Dionne Warwick,The Dionne Warwick Collection: Her All-Time Greatest Hits,34
"A Little Less Sixteen Candles, A Little More ""Touch Me""",Fall Out Boy,From Under The Cork Tree,44
"A Little Less Sixteen Candles, A Little More ""Touch Me""",Fall Out Boy,From Under The Cork Tree Limited Tour Edition,44
A Minha Menina,Os Mutantes,"""Os Mutantes""",1
A New Dawn,Sam Gellaitry,IV,1
A Ninety-Year-Old Girl,Joe Hisaishi,Howl's Moving Castle Soundtrack,2
A Pearl,Mitski,Be the Cowboy,39
A Place for My Head,Linkin Park,Hybrid Theory,8
A Propeller Driven Bicycle,Joe Hisaishi,Kiki's Delivery Service Soundtrack Music Collection,1
A Salty Salute,Guided By Voices,Alien Lanes,1
A STEP FORWARD INTO TERROR,Shiro SAGISU,NEON GENESIS EVANGELION (Original Series Soundtrack),1
A Thousand Words,Jay Som,A Thousand Words,4
A Town with an Ocean View,Joe Hisaishi,Kiki's Delivery Service Soundtrack Music Collection,2
A Trophy Fathers Trophy Son,Sleeping With Sirens,Let's Cheers To This,32
A Very Busy Kiki,Joe Hisaishi,Kiki's Delivery Service Soundtrack Music Collection,1
A Walk in the Skies,Joe Hisaishi,Howl's Moving Castle Soundtrack,3
A World Without Cocoon,Masashi Hamauzu,FINAL FANTASY XIII-2 Original Soundtrack,1
A-Punk,Vampire Weekend,Vampire Weekend,1
A.T.H.F. (Aqua Teen Hunger Force),DANGERDOOM,THE MOUSE & THE MASK,1
About A Girl,Nirvana,Nirvana,5
About A Girl,Nirvana,Bleach,5
About A Girl - Live,Nirvana,MTV Unplugged In New York,2
Absolutely (Story of a Girl) - Radio Mix,Nine Days,The Madding Crowd,1
Acapulco - MOTi Remix,Jason Derulo,Acapulco,1
Accidentally In Love,Counting Crows,00s Anthems,2
Accordion,Madvillain,Madvillainy,7
Across The Universe - Remastered 2009,The Beatles,Let It Be,1
Adagio of Life and Death,Joe Hisaishi,Princess Mononoke Soundtrack,1
Adagio of Life and Death II,Joe Hisaishi,Princess Mononoke Soundtrack,1
Adam's Song,blink-182,Enema Of The State,1
Adore,Westkust,Westkust,1
Adore - 2020 Remaster,Prince,Sign O' The Times,4
Aerodynamic,Daft Punk,Discovery,1
Afraid,The Neighbourhood,I Love You.,1
African Samurai,Flying Lotus,Yasuke,10
Afro Blue,Robert Glasper,Black Radio,2
Afro Blue,Robert Glasper,Black Radio Recovered: The Remix EP,2
After Hours,The Weeknd,After Hours,1
After Party,Don Toliver,Heaven Or Hell,2
Afterglow,Wilkinson,Lazers Not Included,1
Again,Flyleaf,Memento Mori,1
Aibohphobia,Shakey Graves,Can't Wake Up,4
Ain't No Easy Way,Black Rebel Motorcycle Club,Howl,2
Ain't No Other Man,Christina Aguilera,Back To Basics,10
Ain't No Rest for the Wicked,Cage The Elephant,Cage The Elephant (Expanded Edition),1
Ain't Nothing Like The Real Thing,Marvin Gaye,You're All I Need,8
Ain't Shit,Doja Cat,Planet Her,14
Air Supply - 2021 Remaster,Sweet Trip,You Will Never Know Why (2021 Remaster),1
Airwalks (Alt),Jeff Rosenstock,SKA DREAM,9
Akasaka Sad,Rina Sawayama,SAWAYAMA,36
"Album für die Jugend, Op. 68: No. 1. Melodie",Robert Schumann,Semplice,1
Alemania,Twin Shadow,Twin Shadow,1
Alex,Roy Blair,Cat Heaven,3
Alien Blues,Vundabar,Gawk,6
Aliens Exist,blink-182,Enema Of The State,1
Alina,Alex G,Rocket,4
Alison,Slowdive,Souvlaki,31
Alive,Empire of the Sun,Ice On The Dune,1
All Alone,Gorillaz,Demon Days,1
All Apologies,Nirvana,In Utero,3
All Apologies - Live,Nirvana,MTV Unplugged In New York,1
All Around Me,Flyleaf,Flyleaf,24
All Caps,Madvillain,Madvillainy,6
All Eyes On Me,Bo Burnham,Inside (The Songs),1
All I C Is U & Me,Death From Above 1979,Outrage! Is Now,31
All I Have,Jennifer Lopez,This Is Me...Then,6
All I Need Is MONEY!,Yoshihisa Hirano,HUNTER×HUNTER セレクト×ベスト×α,4
All I Really Want,Alanis Morissette,Jagged Little Pill,1
All I Wanted,Paramore,Brand New Eyes,54
All In,Kartell,All In,11
All My Heart,Sleeping With Sirens,Let's Cheers To This,19
All My Heroes - Radio Edit,Naeleck,All My Heroes,1
All My Heroes Are Cornballs,JPEGMAFIA,All My Heroes Are Cornballs,5
All My Love - Remaster,Led Zeppelin,Mothership,1
All My Own Stunts,Arctic Monkeys,Suck It and See,8
All Of The Lights (Interlude),Kanye West,My Beautiful Dark Twisted Fantasy,2
All or Nothing,Naoshi Mizuta,FINAL FANTASY XIII-2 Original Soundtrack,1
All The Small Things,blink-182,Enema Of The State,3
All These Nights,Antarctigo Vespucci,Love in the Time of E-Mail,1
All These Things That I've Done,The Killers,Hot Fuss,1
All This Useless Energy,Jeff Rosenstock,POST-,6
Almost,Bowling For Soup,A Hangover You Don't Deserve,1
Alone,Doja Cat,Planet Her,8
Alone,Ty Segall,Melted,8
Alone (feat. MGK),Sleeping With Sirens,Feel,1
Alone Again,The Weeknd,After Hours,5
Alright,Supergrass,I Should Coco,1
Alrighty Aphrodite,Peach Pit,Being So Normal,1
Also Frightened,Animal Collective,Merriweather Post Pavilion,10
Alta,Ty Segall,Freedom's Goblin,1
Always Alright,Alabama Shakes,Always Alright,1
Always On,Death From Above 1979,The Physical World,23
Always See Your Face,Love,Four Sail,3
AM I DREAMING (feat. Miley Cyrus),Lil Nas X,MONTERO,15
Amandla's Interlude,Steve Lacy,Apollo XXI,7
Amber,The Revivalists,Men Amongst Mountains,1
Amend,j^p^n,Spoils,1
America's Most Blunted,Madvillain,Madvillainy,5
America's Suitehearts,Fall Out Boy,Folie à Deux,23
American Beauty,Girlpool,Girlpool,27
American Blood,Dead Poet Society,American Blood,1
American Spirits,Inner Wave,III,1
American Sports,Arctic Monkeys,Tranquility Base Hotel & Casino,6
Amsterdam,Nothing But Thieves,Broken Machine (Deluxe),1
An Arrow Through Time,Masashi Hamauzu,FINAL FANTASY XIII-2 Original Soundtrack,1
An Encounter,The 1975,The 1975,1
An Ode To No One - Remastered 2012,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness,1
And It Never Ends,Crumb,Jinx,2
Andromeda (feat. DRAM),Gorillaz,Humanz,1
ANGEL ATTACK,Shiro SAGISU,NEON GENESIS EVANGELION (Original Series Soundtrack),3
Angel of Doom,Shiro SAGISU,Evangelion: 1.0 You Are (Not) Alone (Original Soundtrack Album),6
Animal,Miike Snow,Miike Snow,4
Animal,Badflower,Temper,4
Annie,Neon Indian,VEGA INTL. Night School,1
Annihilation of Pejite,Joe Hisaishi,Nausicaä of the Valley of the Wind Soundtrack: Towards the Faraway Land,5
Another Love Song,Queens of the Stone Age,Songs For The Deaf,2
Another One,Sam Smith,Love Goes,1
"Another Rise, Another Fall",Miami Horror,All Possible Futures,1
Another Sunny Day,Belle and Sebastian,The Life Pursuit,1
Another Weekend,Ariel Pink,Dedicated To Bobby Jameson,1
Anotherloverholenyohead,Prince,Parade - Music from the Motion Picture Under the Cherry Moon,1
Antoinette's Tale,Jazmine Sullivan,Heaux Tales,5
Anxious,Hippo Campus,Bambi,1
Anything,Mannequin Pussy,Romantic,7
Apartment,Modern Baseball,You're Gonna Miss It All,2
"Aquí, Allá y Donde Sea",Los Darts,Grandes Éxitos de los Darts,2
Arabella,Arctic Monkeys,AM,15
Archangel,Burial,Untrue,2
Are You Bored Yet? (feat. Clairo),Wallows,Nothing Happens,1
Ari's Tale,Jazmine Sullivan,Heaux Tales,2
Art School,Remo Drive,Greatest Hits,7
As I Love You,Shirley Bassey,The Collection,14
As the Darkness Falls,Maxence Cyrin,Melancholy Island,1
"As We Go Up, We Go Down",Guided By Voices,Alien Lanes,1
Ascension (feat. Vince Staples),Gorillaz,Humanz,2
Ashitaka and San,Joe Hisaishi,Princess Mononoke Soundtrack,1
Assault,Masashi Hamauzu,FINAL FANTASY X Original Soundtrack,2
Assumptions,Sam Gellaitry,IV,7
ASUKA STRIKES!,Shiro SAGISU,NEON GENESIS EVANGELION (Original Series Soundtrack),1
At Doom's Gate,Mick Gordon,Doom (Original Game Soundtrack),1
At Night In Dreams,White Denim,Corsicana Lemonade,1
At the Party,Black Belt Eagle Scout,At the Party With My Brown Friends,1
Audio Delite at Low Fidelity,Black Eyed Peas,Monkey Business,2
Auron's Theme,Nobuo Uematsu,FINAL FANTASY X Original Soundtrack,5
Autodidact,Swervedriver,I Wasn't Born to Lose You,1
Automate,Snail Mail,Valentine,1
Axesteel,Alex G,DSU,1
b yr own b,illuminati hotties,FREE I.H: This Is Not the One You've Been Waiting For,3
B4 The Computer Crash,Vegyn,B4 The Computer Crash,1
Baby,Donnie & Joe Emerson,Dreamin' Wild,3
Baby,Gal Costa,Gal Costa,3
Baby Alligator,Ovlov,TRU,3
BABY BLUE,Fishmans,空中キャンプ,1
Baby I'm a Star,Prince,Purple Rain,1
"Baby, Baby Don't Cry - Stereo",Smokey Robinson & The Miracles,Time Out For Smokey Robinson & The Miracles,2
Babydoll,Dominic Fike,"Don't Forget About Me, Demos",6
babys breath (original version),Lovesliescrushing,Girl Echo Suns Veils,2
"Bach, JS: Goldberg Variations, BWV 988: Aria",Johann Sebastian Bach,"Bach, JS: Goldberg Variations",1
Back Seat Driver,Shakey Graves,Can't Wake Up,2
Bad Blood,Bastille,Bad Blood,1
Bad Dream,Cannons,Bad Dream,1
Bad Friend,Rina Sawayama,SAWAYAMA,25
bad idea,Ariana Grande,"thank u, next",2
Bad Kids,Black Lips,Good Bad Not Evil,1
Bad Man,Alex G,House of Sugar,2
Bad Words,Tobias Jesso Jr.,Goon,1
Badillac,Together Pangea,Badillac,1
Bag Lady,Erykah Badu,Mama's Gun,1
Bang on the Door,Jeff Rosenstock,WORRY.,8
Bang The Doldrums,Fall Out Boy,Infinity On High,18
Bang!,AJR,Bang!,1
BANKROLL (feat. A$AP Rocky & A$AP Ferg),BROCKHAMPTON,"ROADRUNNER: NEW LIGHT, NEW MACHINE",10
Banquet,Bloc Party,Silent Alarm,2
Bare Hands,PUP,Morbid Stuff,1
BAREFOOT IN THE PARK,Shiro SAGISU,NEON GENESIS EVANGELION (Original Series Soundtrack),2
Bartender (feat. Akon),T-Pain,Epiphany,1
Baseball,Gulfer,Dog Bless,6
Basement Jack,Steve Lacy,Apollo XXI,14
BasicBitchTearGas,JPEGMAFIA,All My Heroes Are Cornballs,1
Bataille Decisive,Shiro SAGISU,Evangelion: 1.0 You Are (Not) Alone (Original Soundtrack Album),6
Batphone,Arctic Monkeys,Tranquility Base Hotel & Casino,2
Batshit,Dominic Fike,"Don't Forget About Me, Demos",3
Battle,Joe Hisaishi,Nausicaä of the Valley of the Wind Soundtrack: Towards the Faraway Land,5
Battle Drums,Joe Hisaishi,Princess Mononoke Soundtrack,3
Battle in Front of the Ironworks,Joe Hisaishi,Princess Mononoke Soundtrack,3
Battle Theme,Nobuo Uematsu,FINAL FANTASY X Original Soundtrack,11
Baybee,Jay Som,Everybody Works,2
BBW,JPEGMAFIA,All My Heroes Are Cornballs,5
BCX,Sleeping Witch & Saturn,Sleeping Witch & Saturn,1
Be My Escape,Relient K,Mmhmm,1
Be Seeing You,Soccer Mommy,Blossom (Demo) / Be Seeing You,1
Be Sweet,Japanese Breakfast,Jubilee,1
Beating My Head Against A Wall,Jeff Rosenstock,POST-,2
Beautiful Girls,Sean Kingston,Sean Kingston,1
Because I Got High,Afroman,The Good Times,1
Because I’m Me,The Avalanches,Wildflower,2
Been Away Too Long,Soundgarden,King Animal,1
Been Caught Stealing,Jane's Addiction,Ritual De Lo Habitual,1
Been Like This,Doja Cat,Planet Her,7
Beers Again Alone,Jeff Rosenstock,We Cool?,6
Bees,Ty Segall,Melted,3
Bees & Honey - Bonus Track,Rina Sawayama,SAWAYAMA,5
"Beethoven: Piano Sonata No. 8 in C Minor, Op. 13, ""Pathétique"": II. Adagio cantabile",Ludwig van Beethoven,"Beethoven: Piano Sonatas Nos 8, ""Pathétique"", 9 & 10",1
Before the World Was Big,Girlpool,Before The World Was Big,53
Behind the Sea,Panic! At The Disco,Pretty. Odd.,10
belas,eevee,ep seeds,1
Believe,Masashi Hamauzu,FINAL FANTASY X Original Soundtrack,2
Believe What I Say,Kanye West,Donda,15
Ben Franklin,Snail Mail,Valentine,2
Berenstein,The Band CAMINO,Berenstein,1
Besaid,Masashi Hamauzu,FINAL FANTASY X Original Soundtrack,8
Beside Yourself,Mannequin Pussy,Romantic,6
Beta Male Strategies,JPEGMAFIA,All My Heroes Are Cornballs,6
Better Days - Regard Remix,NEIKED,Better Days,1
better off,Ariana Grande,Sweetener,1
Better Off Dead,Sleeping With Sirens,Madness,7
Better Strangers,Royal Blood,Royal Blood,10
Better Than I Imagined (Feat. H.E.R. & Meshell Ndegeocello),Robert Glasper,Better Than I Imagined (Feat. H.E.R. & Meshell Ndegeocello),1
Between Memories,Flying Lotus,Yasuke,9
Beyond Love,Beach House,Depression Cherry,2
Beyond The Darkness,Masashi Hamauzu,FINAL FANTASY X Original Soundtrack,1
Bezos I,Bo Burnham,Inside (The Songs),6
Bezos II,Bo Burnham,Inside (The Songs),1
Bfg Division,Mick Gordon,Doom (Original Game Soundtrack),1
Big Bad Wolf,Shakey Graves,Can't Wake Up,2
Big Bang,Cherry Glazerr,Big Bang,1
Big Cheese,Nirvana,Bleach,1
Big Fig Wasp,King Gizzard & The Lizard Wizard,Nonagon Infinity,5
Big Fish,Alex G,Rocket,1
Big Sis,SALES,SALES LP,1
Big Yellow Taxi,Counting Crows,Hard Candy,1
Bigger Than Us,White Lies,Ritual,1
Billy,DRAMA,Gallows,1
Bird Tutorial,Sidney Gish,No Dogs Allowed,1
Birds Dont Sing,TV Girl,French Exit,1
Bistro,Madvillain,Madvillainy,5
Black and Red,Reignwolf,Hear Me Out,1
Black Butterflies and Déjà Vu,The Maine,Lovely Little Lonely,1
Black Dog - Remaster,Led Zeppelin,Led Zeppelin IV,29
Black Dog - Remaster,Led Zeppelin,Mothership,29
Black Gold,Flying Lotus,Yasuke,22
Black History Month,Death From Above 1979,"You're A Woman, I'm A Machine",4
Black Hole,Puppy,The Goat,13
Black Hole Sun,Soundgarden,Superunknown,1
Black Holes (Solid Ground),The Blue Stones,Black Holes,1
Black Hot Soup,King Gizzard & The Lizard Wizard,Butterfly 3000,1
Black Magic,The Amazons,The Amazons,20
Black Sail,Chastity Belt,No Regerts,8
Black Treacle,Arctic Monkeys,Suck It and See,6
Blackkk,Thundercat,Drunk,1
Blast Damage Days,Jeff Rosenstock,WORRY.,16
Blessed Fanfare,鈴木光人,FINAL FANTASY XIII-2 Original Soundtrack,1
Blinded By Light,Masashi Hamauzu,FINAL FANTASY XIII Original Soundtrack,2
Blinding Lights,The Weeknd,After Hours,3
Blinding Lights,Revelries,Blinding Lights,3
Blitz Off !,Masashi Hamauzu,FINAL FANTASY X Original Soundtrack,5
Bloo,Zack Villere,Little World,1
Blood - Hidden Track,My Chemical Romance,The Black Parade,1
Blood Hands,Royal Blood,Royal Blood,19
Blood on Our Hands,Death From Above 1979,"You're A Woman, I'm A Machine",7
Blood Visions,Jay Reatard,Blood Visions,1
Bloodhail,Have A Nice Life,Deathconsciousness,29
bloodline,Ariana Grande,"thank u, next",4
bloodstream,Soccer Mommy,color theory,8
Bloody Knuckles,Sleeping With Sirens,Bloody Knuckles,3
"Bloody Mary, Kate and Ashley",PUP,Morbid Stuff,2
Bloom,j^p^n,Offering,3
Blossom,Porter Robinson,Nurture,1
Blossom (Wasting All My Time),Soccer Mommy,Clean,1
Blown a Wish,my bloody valentine,Loveless,2
Blue Light,Kelela,Take Me Apart,3
Blue Morpho,King Gizzard & The Lizard Wizard,Butterfly 3000,1
Blue Ribbon,Remo Drive,Pop Music,6
Blue Thunder (w/Sax),Galaxie 500,The Portable Galaxie 500,2
Bluebird,Beach House,Depression Cherry,1
Bluish,Animal Collective,Merriweather Post Pavilion,1
Bobby,Alex G,Rocket,6
Boca Raton (with A$AP Ferg),Bas,Milky Way,2
Bodies - Intro,Jazmine Sullivan,Heaux Tales,9
Body Language - Intro,Kali Uchis,Isolation,5
Bohemian Like You,The Dandy Warhols,Thirteen Tales From Urban Bohemia,1
Bold as Love,Jimi Hendrix,Axis: Bold As Love,1
Bone,King Gizzard & The Lizard Wizard,Paper Mâché Dream Balloon,7
Boom Boom Pow,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES),4
Boom Boom Pow - New Album Version,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES),1
Born Again (feat. Robert Glasper),Leon Bridges,Gold-Diggers Sound,1
BOY BYE,BROCKHAMPTON,GINGER,3
Boyish,Hippo Campus,Landmark,1
"Boys, Be Courageous!",Yoshihisa Hirano,HUNTER×HUNTER セレクト×ベスト×α,4
Brad Pitt,MØ,Brad Pitt / Goosebumps,1
Brand Name,Mac Miller,GO:OD AM,1
Braska's Daughter,Nobuo Uematsu,FINAL FANTASY X Original Soundtrack,6
Bravely Forward,Nobuo Uematsu,FINAL FANTASY X Original Soundtrack,1
Brazil,Declan McKenna,What Do You Think About the Car?,7
Brazil,Declan McKenna,Brazil,7
"break up with your girlfriend, i'm bored",Ariana Grande,"thank u, next",1
Breathe Today,Flyleaf,Flyleaf,1
"Breathe, Be Happy - CLVB 98 Remix",Tep No,"Breathe, Be Happy",1
Breather,Chapterhouse,Whirlpool (Expanded Edition),2
Breathing In Stereo,Modern Baseball,Holy Ghost,6
Breathless On DVD,Antarctigo Vespucci,Love in the Time of E-Mail,1
Breed,Nirvana,Nevermind,1
Brett Favre,Slow Pulp,Ep2,3
Brian Eno,MGMT,Congratulations,1
Brianstorm,Arctic Monkeys,Favourite Worst Nightmare,2
Brick,Alex G,Rocket,1
Brick By Brick,Arctic Monkeys,Suck It and See,5
Bring Me To Life,Evanescence,Fallen,1
Broken,Seether,Disclaimer II,1
Broken Cash Machine,Modern Baseball,You're Gonna Miss It All,1
Broken Smile (My All),Lil Peep,"Come Over When You're Sober, Pt. 2",3
Brokenhearted,Danny Dwyer,Brokenhearted,7
Bron-Y-Aur Stomp - Remaster,Led Zeppelin,Led Zeppelin III,1
Bros,Wolf Alice,My Love Is Cool,3
Brother Sport,Animal Collective,Merriweather Post Pavilion,1
brutal,Olivia Rodrigo,SOUR,8
Bruyères,Claude Debussy,Pastiche,1
Bubblegum Bitch,MARINA,Electra Heart,3
Bucket List (feat. Matthew Santos),Saba,Bucket List Project,2
Buddy Holly,Weezer,Weezer,2
"Build God, Then We'll Talk",Panic! At The Disco,A Fever You Can't Sweat Out,1
Bullet Proof Mustache,Strange U,#LP4080,1
Bullet With Butterfly Wings - Remastered 2012,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness,1
Bus Stop - 2003 Remaster,The Hollies,50 at Fifty,1
Busted and Blue,Gorillaz,Humanz,1
But It's Better If You Do,Panic! At The Disco,A Fever You Can't Sweat Out,65
Buttercup,Hippo Campus,Landmark,3
Butterflies,Kacey Musgraves,Golden Hour,1
Butterfly 3000,King Gizzard & The Lizard Wizard,Butterfly 3000,1
BUTTERMILK JESUS TYPE BEAT,JPEGMAFIA,All My Heroes Are Cornballs,1
Buy U a Drank (Shawty Snappin') (feat. Yung Joc),T-Pain,Epiphany,1
BUZZCUT (feat. Danny Brown),BROCKHAMPTON,"ROADRUNNER: NEW LIGHT, NEW MACHINE",12
By Myself,Linkin Park,Hybrid Theory,12
By Your Side,Sade,Lovers Rock,1
Bye bye,Destroyer,Five Spanish Songs,1
C,Thee Oh Sees,Smote Reverser,1
c. et al.,Snail Mail,Valentine,2
Cabinet Man,Lemon Demon,Spirit Phone,1
Caesar,Ty Segall,Melted,7
Caius's Theme,Naoshi Mizuta,FINAL FANTASY XIII-2 Original Soundtrack,1
Calamity,King Shelter,Sellout,5
California - Tchad Blake Mix,Phantom Planet,The Guest,1
California Dreamin',José Feliciano,Feliciano,2
Call Me (feat. Portugal. The Man),Cherry Glazerr,Call Me (feat. Portugal. The Man),1
Calm Before the Storm,Fall Out Boy,Take This to Your Grave,7
Calm Before The Storm,Nobuo Uematsu,FINAL FANTASY X Original Soundtrack,6
Camisado,Panic! At The Disco,A Fever You Can't Sweat Out,1
Can I Get It,Adele,30,1
Can We Hang On ?,Cold War Kids,LA DIVINE,1
Can We Still Be Friends,Tobias Jesso Jr.,Goon,2
Can't Stand Me Now,The Libertines,The Libertines,2
Can't Stop Thinking About You,Tobias Jesso Jr.,Goon,6
Cancel Me,Dominic Fike,What Could Possibly Go Wrong,10
Cancer,My Chemical Romance,The Black Parade,1
Candy,Doja Cat,Amala,3
Careless,Royal Blood,Royal Blood,14
Carnival (feat. Anthony Hamilton),Gorillaz,Humanz,1
Carol,Merce Lemon,Girls Who Jump In,1
Caroline Goodbye,Colin Blunstone,One Year,1
Carrion Crawler,Thee Oh Sees,Carrion Crawler / The Dream,1
Casper,Water Trash,Water Trash,1
Cassie,Flyleaf,Flyleaf,1
Cat Sitting in My Room,Cherry Glazerr,Papa Cremp,1
Catalina Fight Song,Joyce Manor,Never Hungover Again,9
Catching Smoke,King Gizzard & The Lizard Wizard,Butterfly 3000,1
Caught Up,Death From Above 1979,Outrage! Is Now,31
Ce n'est Rien,Nothing But Thieves,Moral Panic II,1
celebrate the void,Sebadoh,Act Surprised,3
Cemetery Drive,My Chemical Romance,Three Cheers for Sweet Revenge,40
CHAIN ON (feat. JPEGMAFIA),BROCKHAMPTON,"ROADRUNNER: NEW LIGHT, NEW MACHINE",10
Chained To A Memory,Dusty Springfield,The Look Of Love,2
Challenge,Masashi Hamauzu,FINAL FANTASY X Original Soundtrack,1
"Champagne For My Real Friends, Real Pain For My Sham Friends",Fall Out Boy,From Under The Cork Tree,16
Champagne Life,Ne-Yo,Libra Scale,1
champagne problems,Taylor Swift,evermore,1
Change,Alex G,Trick,68
Charger (feat. Grace Jones),Gorillaz,Humanz,1
Chariots,Paper Route,Real Emotion,1
Charlie Black,Modern Baseball,You're Gonna Miss It All,2
Charlie Brown,Rejjie Snow,Dear Annie,4
Chasing Cars,Snow Patrol,Eyes Open,1
Cheap Date,Junior Prom,Cheap Date,1
Cheap Shoes,illuminati hotties,Let Me Do One More,7
Cheap Talk,Death From Above 1979,The Physical World,17
Cheating (Bonus Track),The Animals,Animalisms,1
Checkerboard Ashtray,Jeff Rosenstock,SKA DREAM,1
Chelsea,Phoebe Bridgers,Stranger in the Alps,1
Chelsea Dagger,The Fratellis,Costello Music,1
Chem-Farmer,Thee Oh Sees,Carrion Crawler / The Dream,1
Chemical Freeze,Girlpool,What Chaos Is Imaginary,19
Cherry,Rina Sawayama,Cherry,8
Cherry Flavoured,The Neighbourhood,Chip Chrome & The Mono-Tones,1
Cherry Picking,Girlpool,Before The World Was Big,1
Cherry Waves,Deftones,Saturday Night Wrist,1
Chicken Tenders,Dominic Fike,What Could Possibly Go Wrong,11
"Children's Corner, L. 113: I. Doctor Gradus ad Parnassum",Claude Debussy,The Perfect Place to Be,2
Chocobo Jam,Nobuo Uematsu,FINAL FANTASY X Original Soundtrack,6
Chocobo Rodeo,Nobuo Uematsu,FINAL FANTASY XIII-2 Original Soundtrack,1
Chocolate,The 1975,The 1975,1
Choke,I DONT KNOW HOW BUT THEY FOUND ME,Choke,4
Chosen Family,Rina Sawayama,SAWAYAMA,9
Cigarette Daydreams,Cage The Elephant,Melophobia,2
Circle of Friendz (feat. Brandon Markell Holmes),Gorillaz,Humanz,1
circle the drain,Soccer Mommy,color theory,38
Circles,Post Malone,Hollywood's Bleeding,1
City,PUP,Morbid Stuff,1
Claire de lune,Claude Debussy,Träumerei - Liebestraum - Für Elise - Clair de lune - Gymnopédie - Sony Classical Masters,1
Clams,Mannequin Pussy,Patience,32
Cleaning House,Joe Hisaishi,Howl's Moving Castle Soundtrack,2
Cliché,Sub Urban,Thrill Seeker,2
Climb on the Cross,Shakey Graves,Can't Wake Up,11
Clint Eastwood,Gorillaz,Gorillaz,2
Close to Me - 2006 Remaster,The Cure,The Head on the Door,1
Closer (Ode 2 U),Ravyn Lenae,Crush EP,6
Closure,PUP,Morbid Stuff,2
Clouds,Alex G,Trick,4
Clusterhug,I DONT KNOW HOW BUT THEY FOUND ME,RAZZMATAZZ,35
Coals,Modern Baseball,Sports,7
Coca Cola Cutie,Deaton Chris Anthony,BO Y,1
Cocktail - Remastered,Saib,Around The World,1
Cocoon,Catfish and the Bottlemen,The Balcony,1
Cold Cadaver,King Gizzard & The Lizard Wizard,Paper Mâché Dream Balloon,3
Cold Cold Cold,Cage The Elephant,Tell Me I'm Pretty,1
Cold War,Death From Above 1979,"You're A Woman, I'm A Machine",4
