track,artist,album,times_played
¡BREAKOUT! feat. Cherry Glazerr,WILLOW,lately I feel EVERYTHING,10
...Like Clockwork,Queens of the Stone Age,...Like Clockwork,1
...While You're Alive,Jeff Rosenstock,WORRY.,7
.intoodeep.,Dead Poet Society,-!-,12
‘tis the damn season,Taylor Swift,evermore,1
"""The Take Over, The Breaks Over""",Fall Out Boy,Infinity On High,19
"""Was mir behagt, ist nur die muntre Jagd"" Cantata, BWV 208 - arr. Mary Howe for two pianos: 9. Schafe können sicher weiden",Johann Sebastian Bach,Bach,1
(Coffee's For Closers),Fall Out Boy,Folie à Deux,9
(They Long To Be) Close To You,Dusty Springfield,The Look Of Love,9
(Where Do I Begin) Love Story - 1994 Remaster,Shirley Bassey,Something Else,34
[oops],potsu,[oops],2
「1/13」,クロロ ルシルフル(CV:宮野真守),HUNTER×HUNTER セレクト×ベスト×α,1
***BNB,Jeff Rosenstock,NO DREAM,5
***SKA,Jeff Rosenstock,SKA DREAM,9
//error,GoldLink,Diaspora,1
"1 step forward, 3 steps back",Olivia Rodrigo,SOUR,1
10:37,Beach House,Depression Cherry,2
10x Stronger,Dominic Fike,What Could Possibly Go Wrong,9
11 AM Drunk,Dogleg,Dogleg,3
151 Rum,JID,DiCaprio 2,1
16 Lines,Lil Peep,"Come Over When You're Sober, Pt. 2",2
1979 - Remastered 2012,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness,2
1985,Bowling For Soup,A Hangover You Don't Deserve,2
1994,Slutever,1994,3
1999 She,Deaton Chris Anthony,BO Y,1
2 Chord,Sleeping With Sirens,Madness,1
2.02 Killer Year,King Gizzard & The Lizard Wizard,Butterfly 3000,1
20 Dollar Nose Bleed,Fall Out Boy,Folie à Deux,7
2009,Mac Miller,Swimming,3
21st Century Schizoid Man,Fuzz,Sunderberry Dream,1
24k,Tkay Maidza,"Last Year Was Weird, Vol. 2",1
27,Fall Out Boy,Folie à Deux,2
3 Nights,Dominic Fike,"Don't Forget About Me, Demos",7
30,Bo Burnham,Inside (The Songs),1
34+35,Ariana Grande,Positions,62
4 [bump],[bsd.u],BLESS Vol. 2,2
4ever,WILLOW,lately I feel EVERYTHING,23
4US Ranch,Jelani Aryeh,Suburban Destinesia,1
505,Arctic Monkeys,Favourite Worst Nightmare,2
572 Cuthbert Blvd,Their / They're / There,Their / They're / There,4
"6 Preludes, Op. 13: No. 3 in G Major",Alexander Scriabin,The Perfect Place to Be,1
